FPS,NR,QP,PLR,vPLR,aPLR,MOS
10,0,23,0.1,0.04,0.09,4.103448276
10,0,23,0.5,0.46,0.42,2.814814815
10,0,23,0,0,0,4.103448276
10,0,23,1,1.23,0.98,1.732142857
10,0,23,5,4.2,5.46,1.15
10,999,23,0.1,0,0.19,3.948275862
10,999,23,0.5,0.55,0.51,3.208333333
10,999,23,0,0,0,3.8
10,999,23,1,0.83,1.21,2
10,999,23,5,5.28,4.71,1.25
10,0,27,0.1,0.13,0,3.189655172
10,0,27,0.5,0.65,0.28,2.611111111
10,0,27,0,0,0,3.482758621
10,0,27,1,0.84,0.79,2.24137931
10,0,27,5,4.8,4.85,1.25
10,999,27,0.1,0.14,0.14,2.392857143
10,999,27,0.5,0.35,0.56,2.277777778
10,999,27,0,0,0,3.5
10,999,27,1,0.97,1.03,2.391304348
10,999,27,5,4.57,4.99,1.55
10,0,31,0.1,0,0.09,3.24137931
10,0,31,0.5,0.37,0.37,3.15
10,0,31,0,0,0,3.362068966
10,0,31,1,0.73,0.93,3.327586207
10,0,31,5,5.67,4.48,1.566666667
10,999,31,0.1,0.28,0.23,2.85
10,999,31,0.5,0.57,0.65,2.25
10,999,31,0,0,0,3.172413793
10,999,31,1,0.76,0.75,2.533333333
10,999,31,5,3.89,4.57,1.706896552
10,0,35,0.1,0,0.09,3
10,0,35,0.5,0.32,0.47,3.034482759
10,0,35,0,0,0,2.875
10,0,35,1,0.74,0.98,2.35
10,0,35,5,4.25,4.24,1.465517241
10,999,35,0.1,0.21,0.05,2.95
10,999,35,0.5,0.64,0.65,2.388888889
10,999,35,0,0,0,2.85
10,999,35,1,0.96,1.21,2.827586207
10,999,35,5,5.85,4.62,1.716666667
15,0,23,0.1,0.11,0.14,2.321428571
15,0,23,0.5,0.62,0.7,2.730769231
15,0,23,0,0,0,4.535714286
15,0,23,1,0.74,0.89,2.232142857
15,0,23,5,5.66,4.99,1.166666667
15,999,23,0.1,0,0.19,4.388888889
15,999,23,0.5,0.34,0.61,3.196428571
15,999,23,0,0,0,4.266666667
15,999,23,1,1.14,1.17,2.64
15,999,23,5,4.64,5.04,1.172413793
15,0,27,0.1,0,0.09,4.120689655
15,0,27,0.5,0.57,0.56,3.884615385
15,0,27,0,0,0,4.214285714
15,0,27,1,1.42,0.79,1.85
15,0,27,5,5.75,4.15,1.275862069
15,999,27,0.1,0,0.14,4.05
15,999,27,0.5,0.1,0.19,4.076923077
15,999,27,0,0,0,3.931034483
15,999,27,1,1.06,0.65,2.267857143
15,999,27,5,4.04,5.09,1.672413793
15,0,31,0.1,0.13,0.05,3.482758621
15,0,31,0.5,0.33,0.7,3.407407407
15,0,31,0,0,0,3.660714286
15,0,31,1,1.14,0.84,3.362068966
15,0,31,5,4.34,5.04,1.583333333
15,999,31,0.1,0.27,0.09,3.216666667
