VideoPacketLossRate,pFrameCountDiff,VideoBitRate,AudioBitRate,S10pFrameMeanDiff,aFrameCount,AudioNBFrames,S2pFrameCountDiff,S3pFrameMeanDiff,S1aFrameCountDiff,S9pFrameCountDiff,AudioPacketLossRate,S11pFrameMeanDiff,aFrameCountDiff,S14pFrameMeanDiff,S9pFrameMeanDiff,S27pFrameMeanDiff,S28pFrameCountDiff,S7pFrameCountDiff,S29pFrameCountDiff,S15aFrameCountDiff,S29pFrameMeanDiff,pFrameCount,S1pFrameCountDiff,BPP,S17pFrameMeanDiff,VideoNBFrames,S27pFrameCountDiff,S2pFrameMeanDiff,CC,S18pFrameMeanDiff,ISC,S4pFrameMeanDiff,S14aFrameCountDiff,iFrame3Size,S8pFrameMeanDiff,iFrame3SizeDiff,S16pFrameMeanDiff,S20pFrameMeanDiff,S6pFrameMeanDiff,S14pFrameCountDiff,S21pFrameMeanDiff,S22pFrameMeanDiff,S30pFrameMeanDiff,S0pFrameMeanDiff,S12pFrameMeanDiff,S24pFrameMeanDiff,S13pFrameMeanDiff,S28pFrameMeanDiff,S5pFrameMeanDiff,VideoStartPTS,S7aFrameCountDiff,S8pFrameCountDiff,S23pFrameCountDiff,S29aFrameCountDiff,iFrame0Size,S15pFrameMeanDiff,S19pFrameMeanDiff,S7pFrameMeanDiff,S26pFrameMeanDiff,S23pFrameMeanDiff,iFrame0SizeDiff,AudioDurationTS,S25pFrameMeanDiff,S1pFrameMeanDiff,AudioDuration,VideoDurationTS,S18pFrameCountDiff,iFrame1Size,iFrame1SizeDiff,S28aFrameCountDiff,iFrame4Size,iFrame4SizeDiff,S4aFrameCountDiff,S23aFrameCountDiff,iFrameCount,S12pFrameCountDiff,S2aFrameCountDiff,S11aFrameCountDiff,S26aFrameCountDiff,S22pFrameCountDiff,S9aFrameCountDiff,S11pFrameCountDiff,S6pFrameCountDiff,iFrameCountDiff,iFrame2Size,S5pFrameCountDiff,S21pFrameCountDiff,iFrame2SizeDiff,S20pFrameCountDiff,S19pFrameCountDiff,QP,S10aFrameCountDiff,S15pFrameCountDiff,S24aFrameCountDiff,S3aFrameCountDiff,S25aFrameCountDiff,S13aFrameCountDiff,S20aFrameCountDiff,S30pFrameCountDiff,S30aFrameCountDiff,S16pFrameCountDiff,S12aFrameCountDiff,S16aFrameCountDiff,S17pFrameCountDiff,S25pFrameCountDiff,S26pFrameCountDiff,S5aFrameCountDiff,S8aFrameCountDiff,S6aFrameCountDiff,S13pFrameCountDiff,S4pFrameCountDiff,S17aFrameCountDiff,S10pFrameCountDiff,S18aFrameCountDiff,S0pFrameCountDiff,S24pFrameCountDiff,S3pFrameCountDiff,S21aFrameCountDiff,S22aFrameCountDiff,S27aFrameCountDiff,S19aFrameCountDiff,S0aFrameCountDiff,VideoFrameRate,NR,CIHigh,CILow,MOS
0.04,0.235294118,505020,24381,1.393177607,2143,2143,0,0.267300851,0,-11.11111111,0.09,-0.856286303,0.093240093,2.655600133,2.244865669,0.493190785,20,0,-11.11111111,0,-0.376462672,424,0,0.054798177,2.252874253,429,0,-0.569419687,0.131875208,-0.227348342,69884.25,-0.149649819,0,70345,2.116999492,0.05399031,-4.845758561,1.245588977,2.527283171,0,1.242376327,0.914311969,-0.81799184,0.890420463,-7.34912061,-3.951640465,3.735023576,-0.743700115,-0.985261953,8,0,10,0,0,69843,-0.67811194,-0.15166254,-5.375524209,2.055358112,-0.996695307,0.054378157,686280,-2.036276523,-1.019702453,42.8925,42886,10,68883,0.05513559,0,70464,0.05389918,0,0,5,0,0,0,0,0,0,0,0,0,69845,0,0,0.054376601,0,-11.11111111,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,4.400800178,3.806096374,4.103448276
0.46,5.176470588,485598,24302,1.393177607,2136,2136,0,-1.116654921,0,-11.11111111,0.42,-0.856286303,0.41958042,2.655600133,2.244865669,0.493190785,10,0,11.11111111,0,-7.837909828,403,0,0.052690755,2.252874253,423,0,-0.569419687,0.132165666,1.923103582,69730.66667,100,0,0,2.116999492,100,-4.845758561,1.258191901,2.527283171,0,3.637687012,0.914311969,-3.032916487,0.890420463,-0.445042542,-3.951640465,3.725747855,-0.579353185,0.68426647,8,0,10,0,0,69843,-0.67811194,-0.15166254,-5.375524209,2.055358112,-0.996695307,0.054378157,686271,-2.036276523,-1.019702453,42.891937,42885,20,68883,0.05513559,0,70464,0.05389918,0,0,4,10,0,0,0,0,0,0,0,20,69845,20,10,0.054376601,0,-11.11111111,23,0,0,2,0,0,0,0,10,2,0,0,2,0,0,0,0,0,0,0,100,4,0,0,0,0,30,0,0,2,0,0,10,0,3.210241176,2.419388454,2.814814815
0,0,506118,24404,1.393177607,2145,2145,0,0.267300851,0,-11.11111111,0,-0.856286303,0,2.655600133,2.244865669,0.493190785,10,0,-11.11111111,0,-0.376462672,425,0,0.054917318,2.252874253,430,0,-0.569419687,0.131875208,-0.227348342,69884.25,-0.149649819,0,70345,2.116999492,0.05399031,-4.845758561,1.245588977,2.527283171,0,1.242376327,0.914311969,-0.81799184,0.890420463,-7.34912061,-3.951640465,3.735023576,-0.579353185,-0.985261953,9,0,10,0,0,69843,-0.67811194,-0.15166254,-5.375524209,2.055358112,-0.996695307,0.054378157,686269,-2.036276523,-1.019702453,42.891813,42883,10,68883,0.05513559,0,70464,0.05389918,0,0,5,0,0,0,0,0,0,0,0,0,69845,0,0,0.054376601,0,-11.11111111,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4.392735837,3.814160715,4.103448276
1.23,6.352941176,455458,24166,1.165219603,2124,2124,10,-0.659298423,4,0,0.98,-0.620406804,0.979020979,2.655600133,1.827473814,0.493190785,10,10,11.11111111,2,-7.837909828,398,20,0.049420356,2.252874253,405,0,-0.79186931,0.13286431,-3.245952091,69364,-0.149649819,0,0,2.116999492,100,-4.845758561,0.803319704,1.821613194,0,1.254697415,-1.146080609,-0.81799184,0.904297146,-7.34912061,-3.938824334,3.735023576,-0.579353185,-0.985261953,9,2,10,0,0,69843,-0.67811194,-0.15166254,-5.190633885,0.525413805,-1.012557832,0.054378157,686260,-0.810660507,-0.808202654,42.89125,42883,20,68883,0.05513559,2,0,100,2,0,3,0,0,2,2,10,0,10,20,40,69845,0,0,0.054376601,10,-11.11111111,23,0,0,0,0,0,0,2,0,0,0,0,4,0,20,10,2,2,0,0,0,0,20,0,0,0,10,2,4,0,0,0,10,0,1.965763382,1.498522332,1.732142857
4.2,33.17647059,383152,23073,3.126929923,2028,2028,20,-0.461388785,8,33.33333333,5.46,0.070264193,5.454545455,0.849773639,5.989525648,100,50,100,22.22222222,8,-7.441666711,284,20,0.041574653,100,348,100,0.042087542,0.131369069,15.11034712,70153.5,-1.891573718,2,0,0.053846555,100,-1.257019262,0.943352191,3.450397965,20,1.821467442,3.173099012,-0.81799184,0.937006469,-6.511161368,-7.190324296,6.29203061,-1.756648426,-1.717565054,9,10,40,20,4,69843,7.981131689,-2.477386427,100,11.02785413,-2.475214805,0.054378157,686268,4.009810632,-2.683956574,42.89175,42885,50,0,100,2,70464,0.05389918,6,4,2,10,6,0,4,20,6,20,50,60,0,20,20,100,10,22.22222222,23,6,20,12,6,4,2,6,0,4,10,2,0,100,70,90,2,6,0,20,20,12,20,14,30,10,20,16,6,4,2,6,10,0,1.284138137,1.015861863,1.15
0,0,398238,24359,2.150643229,2141,2141,0,0.379220779,0,-11.11111111,0.19,-1.52851264,0.186480186,1.849911909,1.717234572,1.019332918,10,0,-11.11111111,0,-0.053474561,425,0,0.043211589,1.518226679,430,0,-1.144417859,0.131875208,-0.145670176,69884.25,-0.005103473,0,70345,1.687456083,0.05399031,-3.91198044,1.247514504,2.31825223,0,0.781952429,1.051109839,-0.990740491,0.254572056,-5.9950337,-2.86860753,3.194473087,-0.912728469,-0.540976358,9,0,10,0,0,69845,-0.038554465,-0.1233496,-4.156891915,0.820045558,-1.48057593,0.054376601,686263,-1.69361047,-0.556963085,42.891438,42883,10,68883,0.05513559,0,70464,0.05389918,0,0,5,0,2,0,0,0,0,0,0,0,69845,0,0,0.054376601,0,-11.11111111,23,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,999,4.257197985,3.639353739,3.948275862
0.55,6.588235294,378130,24280,2.150643229,2134,2134,0,0.379220779,0,-11.11111111,0.51,-1.52851264,0.512820513,1.52320789,1.717234572,1.019332918,50,0,-11.11111111,0,-0.039591742,397,0,0.041029731,2.837472143,420,0,-1.144417859,0.131850524,-0.145670176,69897.33333,-0.005103473,0,70345,1.687456083,0.05399031,-3.91198044,0.259369221,1.851159423,10,0.765604991,1.051109839,-0.318848665,0.254572056,-5.9950337,-2.86860753,3.194473087,-0.902017489,-0.540976358,9,0,10,0,0,69845,-0.038554465,-3.423764045,-4.156891915,0.820045558,-1.48057593,0.054376601,686245,-1.69361047,-0.556963085,42.890313,42882,10,68883,0.05513559,0,70464,0.05389918,0,0,4,0,0,0,2,0,0,0,10,20,0,0,0,100,10,22.22222222,23,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,4,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,10,999,3.576319397,2.84034727,3.208333333
0,0,398211,24403,2.150643229,2145,2145,0,0.379220779,0,-11.11111111,0,-1.52851264,0,1.849911909,1.717234572,1.019332918,10,0,-11.11111111,0,-0.053474561,425,0,0.043208659,1.518226679,430,0,-1.144417859,0.131875208,-0.145670176,69884.25,-0.005103473,0,70345,1.687456083,0.05399031,-3.91198044,1.247514504,2.31825223,0,0.781952429,1.051109839,-0.990740491,0.254572056,-5.9950337,-2.86860753,3.194473087,-0.912728469,-0.540976358,7,0,10,0,0,69845,-0.038554465,-0.1233496,-4.156891915,0.820045558,-1.48057593,0.054376601,686288,-1.69361047,-0.556963085,42.893,42886,10,68883,0.05513559,0,70464,0.05389918,0,0,5,0,0,0,0,0,0,0,0,0,69845,0,0,0.054376601,0,-11.11111111,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,999,4.095679394,3.504320606,3.8
0.83,19.52941176,373808,24109,2.150643229,2119,2119,90,1.746753247,4,-11.11111111,1.21,-1.52851264,1.212121212,100,1.717234572,1.019332918,10,10,-11.11111111,0,-0.053474561,342,0,0.040560764,1.518226679,416,0,-3.832784073,0.132240892,0.193780481,69691,-0.005103473,2,70345,-0.735648736,0.05399031,-3.91198044,-5.728216163,1.851159423,100,100,1.051109839,-0.974543099,0.254572056,-5.9950337,-2.86860753,6.837934184,-0.912728469,-0.540976358,8,2,30,0,0,69845,1.021050738,-0.1233496,-0.328685956,2.972665148,-1.48057593,0.054376601,686254,7.870078771,-0.556963085,42.890875,42884,20,68883,0.05513559,2,0,100,0,0,4,0,0,2,0,0,0,0,10,20,69845,0,100,0.054376601,50,-11.11111111,23,0,20,0,0,0,0,2,0,0,0,0,2,0,70,80,0,0,2,30,0,0,0,0,0,0,60,2,2,0,0,0,10,999,2.241733096,1.758266904,2
5.28,32.94117647,280369,23255,2.150643229,2044,2044,0,-0.876623377,4,11.11111111,4.71,2.091906722,4.708624709,-0.233322223,0.388110463,2.97699691,20,100,55.55555556,4,-5.844923773,285,20,0.030421984,-1.941393399,343,40,-1.144417859,0.131949316,-9.870751201,69845,0.010206946,6,0,-0.577718606,100,-1.119070428,3.941383161,1.242811103,10,-0.252174361,-7.038520616,-0.336845768,1.422417297,-5.451105593,-5.402828766,1.305129187,-0.464206202,-3.474732763,9,8,40,60,2,69845,7.090166041,100,100,0.833712984,-8.683102418,0.054376601,686284,-1.06342208,0.599886932,42.89275,42884,60,0,100,4,0,100,6,10,1,20,4,6,6,90,4,30,40,80,0,20,10,100,50,100,23,6,20,2,2,2,2,2,10,12,10,2,4,40,30,0,6,0,6,30,0,10,0,8,10,20,20,2,10,4,4,6,10,999,1.442300703,1.057699297,1.25
