VideoFrameRate,NR,QP,VideoPacketLossRate,AudioPacketLossRate,VideoStartPTS,VideoDurationTS,VideoBitRate,VideoNBFrames,AudioDurationTS,AudioDuration,AudioBitRate,AudioNBFrames,BPP,ISC,CC,iFrameCount,iFrame0Size,iFrame1Size,iFrame2Size,iFrame3Size,iFrame4Size,pFrameCount,aFrameCount,iFrameCountDiff,iFrame0SizeDiff,iFrame1SizeDiff,iFrame2SizeDiff,iFrame3SizeDiff,iFrame4SizeDiff,pFrameCountDiff,DTS0pFrameCountDiff,DTS1pFrameCountDiff,DTS2pFrameCountDiff,DTS3pFrameCountDiff,DTS4pFrameCountDiff,DTS5pFrameCountDiff,DTS6pFrameCountDiff,DTS7pFrameCountDiff,DTS8pFrameCountDiff,DTS9pFrameCountDiff,DTS10pFrameCountDiff,DTS11pFrameCountDiff,DTS12pFrameCountDiff,DTS13pFrameCountDiff,DTS14pFrameCountDiff,DTS15pFrameCountDiff,DTS16pFrameCountDiff,DTS17pFrameCountDiff,DTS18pFrameCountDiff,DTS19pFrameCountDiff,DTS20pFrameCountDiff,DTS21pFrameCountDiff,DTS22pFrameCountDiff,DTS23pFrameCountDiff,DTS24pFrameCountDiff,DTS25pFrameCountDiff,DTS26pFrameCountDiff,DTS27pFrameCountDiff,DTS28pFrameCountDiff,DTS29pFrameCountDiff,DTS30pFrameCountDiff,DTS0pFrameMeanDiff,DTS1pFrameMeanDiff,DTS2pFrameMeanDiff,DTS3pFrameMeanDiff,DTS4pFrameMeanDiff,DTS5pFrameMeanDiff,DTS6pFrameMeanDiff,DTS7pFrameMeanDiff,DTS8pFrameMeanDiff,DTS9pFrameMeanDiff,DTS10pFrameMeanDiff,DTS11pFrameMeanDiff,DTS12pFrameMeanDiff,DTS13pFrameMeanDiff,DTS14pFrameMeanDiff,DTS15pFrameMeanDiff,DTS16pFrameMeanDiff,DTS17pFrameMeanDiff,DTS18pFrameMeanDiff,DTS19pFrameMeanDiff,DTS20pFrameMeanDiff,DTS21pFrameMeanDiff,DTS22pFrameMeanDiff,DTS23pFrameMeanDiff,DTS24pFrameMeanDiff,DTS25pFrameMeanDiff,DTS26pFrameMeanDiff,DTS27pFrameMeanDiff,DTS28pFrameMeanDiff,DTS29pFrameMeanDiff,DTS30pFrameMeanDiff,aFrameCountDiff,DTS0aFrameCountDiff,DTS1aFrameCountDiff,DTS2aFrameCountDiff,DTS3aFrameCountDiff,DTS4aFrameCountDiff,DTS5aFrameCountDiff,DTS6aFrameCountDiff,DTS7aFrameCountDiff,DTS8aFrameCountDiff,DTS9aFrameCountDiff,DTS10aFrameCountDiff,DTS11aFrameCountDiff,DTS12aFrameCountDiff,DTS13aFrameCountDiff,DTS14aFrameCountDiff,DTS15aFrameCountDiff,DTS16aFrameCountDiff,DTS17aFrameCountDiff,DTS18aFrameCountDiff,DTS19aFrameCountDiff,DTS20aFrameCountDiff,DTS21aFrameCountDiff,DTS22aFrameCountDiff,DTS23aFrameCountDiff,DTS24aFrameCountDiff,DTS25aFrameCountDiff,DTS26aFrameCountDiff,DTS27aFrameCountDiff,DTS28aFrameCountDiff,DTS29aFrameCountDiff,DTS30aFrameCountDiff,MOS
10,999,35,0.64,0.65,7,42885,75866,425,686261,42.891312,24245,2131,0.008231988,19093.5,0.48267735100000003,5,19690,19010,19050,19143,19171,420,2131,0,0.192619627,0.19949601,0.199077955,0.19811271600000002,0.197823937,1.176470588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-11.11111111,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-11.11111111,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,20.0,-11.11111111,0.0,1.671136786,-2.018244014,-2.3475956080000002,1.4052237669999998,1.634035036,-1.19047619,1.4294690540000001,-5.432877672999999,1.871500147,2.309964777,5.324656116,1.00037291,-8.973311547,3.564286555,2.813438951,1.017146178,-6.806164923,3.33846944,-0.943337678,1.232267988,0.25101976800000003,2.459984961,1.025548759,-1.399256227,-7.028590877999999,-2.447552448,2.9041377539999997,0.8043529690000001,1.18761676,2.2305630030000003,-2.8648734680000003,0.652680653,0,0,0,0,2,0,4,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,4,0,2,2,3.0
25,0,27,0.51,0.65,13,107165,376705,1061,686260,42.89125,24245,2131,0.016350043,46911.25,0.491140185,5,47313,46457,46676,47223,47289,1056,2131,0,0.080251737,0.08172921799999999,0.081346063,0.080404562,0.080292433,1.123595506,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,8.0,-4.166666667,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,-4.166666667,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,4.0,-4.166666667,0.0,-0.218803181,-0.808939187,-0.114011401,0.408418943,-0.5479380229999999,-0.6607813770000001,2.725206102,-5.489426364,0.47925158,0.571428571,0.76433121,0.037215303,-5.4368542479999995,2.679883285,1.3980422559999999,0.528500277,-2.313537752,1.276694075,-0.350057894,-0.024430872000000003,0.23683518,2.006367514,0.64655902,-1.060085304,-2.366060057,-0.7742045259999999,2.1663798869999997,1.013851207,-1.38190526,1.008411275,-1.3813033559999999,0.652680653,0,0,0,2,0,2,2,2,0,0,0,0,4,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,4.0
10,999,35,0.96,1.21,8,42885,75711,425,686273,42.892063,24108,2119,0.008215169,19093.5,0.48267735100000003,5,19690,19010,19050,19143,19171,420,2119,0,0.192619627,0.19949601,0.199077955,0.19811271600000002,0.197823937,1.176470588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-11.11111111,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,-11.11111111,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,-11.11111111,0.0,1.671136786,-2.018244014,-2.3475956080000002,1.4052237669999998,1.634035036,-1.095238095,1.4294690540000001,-5.432877672999999,1.871500147,2.371321441,5.324656116,-3.28323362,-8.973311547,7.161249002999999,2.813438951,1.017146178,-6.873664079,3.33846944,-0.943337678,1.232267988,0.25101976800000003,1.6435707380000002,0.8236375990000001,0.818685288,-7.028590877999999,-4.714729715,2.9041377539999997,0.8043529690000001,-1.08827803,2.2305630030000003,-2.8648734680000003,1.212121212,0,0,0,0,0,0,2,0,0,0,0,0,0,2,4,0,0,0,2,2,0,0,2,2,0,6,4,2,0,0,0,3.0
20,0,35,0.95,0.75,14,85772,104302,852,686296,42.8935,24221,2129,0.005658746,19121.33333,0.963949515,4,19688,0,19050,19143,19171,842,2129,20,0.192639156,100.0,0.199077955,0.19811271600000002,0.197823937,1.405152225,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,26.31578947,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,-5.263157895,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,-5.263157895,0.0,0.244498778,-0.453913171,-2.7494108410000004,-0.84465361,0.818240324,-1.266448996,2.233394566,-4.4177171269999995,2.037048118,2.793255662,2.576045627,-1.1830932159999998,-5.81898536,2.692045196,0.318162209,1.483622351,-1.984572755,1.0182318540000002,-1.188668031,1.4510341919999998,-0.697177242,2.131113048,-2.864929314,0.7656723559999999,-4.266528926,-0.132069608,1.4495254530000001,1.094665433,-2.171676095,1.636830698,-0.758104738,0.7459207459999999,2,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,2,0,0,4,0,0,3.0
10,0,23,0.04,0.09,8,42886,505020,429,686280,42.8925,24381,2143,0.054798177,69884.25,0.131875208,5,69843,68883,69845,70345,70464,424,2143,0,0.054378157,0.05513559,0.054376601,0.05399031,0.05389918,0.235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-11.11111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-11.11111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,-11.11111111,0.0,0.890420463,-1.019702453,-0.569419687,0.267300851,-0.14964981900000002,-0.985261953,2.527283171,-5.375524209,2.1169994919999997,2.244865669,1.393177607,-0.856286303,-7.34912061,3.735023576,2.655600133,-0.67811194,-4.845758561,2.2528742530000003,-0.22734834199999998,-0.15166254,1.245588977,1.2423763270000001,0.9143119690000001,-0.996695307,-3.951640465,-2.036276523,2.055358112,0.493190785,-0.743700115,-0.37646267200000005,-0.81799184,0.09324009300000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5.0
25,0,35,0.86,0.79,15,107167,115176,1063,686280,42.8925,24210,2128,0.0049989579999999995,19096.5,1.20650381,3,19688,0,19050,19143,0,1044,2128,40,0.192639156,100.0,0.199077955,0.19811271600000002,100.0,2.247191011,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,29.16666667,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-4.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,-0.207570208,0.38548573799999997,-0.8149693570000001,0.89889428,-0.353300145,-0.220844305,2.411200415,-4.85042735,1.67029063,1.737748817,1.831923109,-1.1112018959999999,-5.363802269,1.95831955,2.1257880080000002,1.3798489980000002,-1.716681955,0.64743967,-0.68641165,0.295573494,0.08334105,2.437083458,-0.7687090209999999,0.793650794,-3.169977925,-0.478178879,1.0548198340000001,2.752331779,-1.861917719,0.086782377,-1.351462711,0.792540793,0,2,2,0,2,0,0,2,0,0,2,0,0,0,2,4,0,0,0,0,0,0,0,2,2,0,0,0,0,2,0,2.0
20,0,23,0.5,0.65,14,85771,781989,845,686277,42.892313,24245,2131,0.042425618,69885.75,0.263744755,5,69843,68889,69845,70345,70464,840,2131,0,0.054378157,0.046429970999999993,0.054376601,0.05399031,0.05389918,1.6393442619999998,0.0,5.0,10.0,5.0,0.0,0.0,0.0,0.0,15.0,-5.263157895,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,-5.263157895,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,10.0,0.0,0.0,-0.6861408170000001,0.6958111379999999,-0.9597387340000001,0.835628805,-0.25759187,-0.7491177990000001,1.651208201,-3.517186251,1.617350944,0.834956962,0.458119436,0.06471904,-3.779406837,2.1398429880000003,1.449100615,0.5826728879999999,-2.1904697719999997,1.716722888,-0.247698607,-0.18212149,0.38824467100000004,1.5909650819999999,0.005765018,-0.34118059999999995,-2.122720976,-0.7581428170000001,1.056822214,0.751063431,-0.893818986,1.4398081630000001,-0.8087424,0.652680653,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2.0
25,0,35,0.0,0.0,18,107167,123180,1073,686293,42.893313,24403,2145,0.005346354,19093.5,1.2066933770000001,5,19688,19010,19050,19143,19171,1068,2145,0,0.192639156,0.19949601,0.199077955,0.19811271600000002,0.197823937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-4.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-4.166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-4.166666667,0.0,-0.280830281,-0.593621724,-0.8149693570000001,0.89889428,-0.353300145,-0.220844305,2.411200415,-6.225641026,1.6257337040000002,0.33481031899999997,1.963361538,-1.1112018959999999,-5.411409982,1.95831955,2.0818061869999998,1.3798489980000002,-1.716681955,0.64743967,-0.68641165,0.295573494,0.08334105,2.377399781,-0.7687090209999999,0.793650794,-3.222958057,-0.478178879,1.0548198340000001,0.839440373,-1.381461676,1.3276368490000001,-1.351462711,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
20,0,31,0.89,0.93,12,85771,172631,851,686266,42.891625,24177,2125,0.009365831,30513.0,0.604070396,4,30982,0,30253,30632,30654,841,2125,20,0.122501612,100.0,0.125449804,0.123899576,0.123810765,1.522248244,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,26.31578947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-5.263157895,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,10.0,-5.263157895,0.0,-0.512456638,-0.418170614,-1.2668176979999999,0.684018318,0.143582947,-1.4328106180000002,2.4574669190000002,-5.589764641,2.511932389,1.0182155290000001,1.8156346319999999,-0.598233255,-5.642151482,3.179947624,0.9220915470000001,1.048600884,-1.688117066,0.7536842109999999,-0.8379146609999999,0.866056844,-0.41205253700000005,0.871365416,-0.599430541,-0.32471280199999997,-3.525294305,-0.811003083,1.46478288,1.041088284,-1.8356793040000001,1.820735952,-1.298858213,0.9324009320000001,0,0,0,4,0,0,0,4,0,4,2,0,4,0,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,3.5
20,0,27,1.15,0.7,14,85772,316819,838,686287,42.892938,24233,2130,0.017188531,46785.33333,0.39396962,4,47313,46457,46676,47223,0,814,2130,20,0.080251737,0.08172921799999999,0.081346063,0.080404562,100.0,4.683840749,0.0,0.0,5.0,15.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,75.0,0.0,10.0,0.0,0.0,5.0,5.0,-5.263157895,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,-5.263157895,0.0,-0.629972136,-0.705550329,-0.19540589100000003,-0.817910182,0.014994752,0.17527074399999998,1.8054226480000002,-4.740414342,2.275667859,2.033694879,1.014602427,-0.158927385,-19.40891303,3.066925641,-0.74625669,0.572966129,-1.998043873,0.716830443,-0.664516824,0.31769026,0.003430061,2.5632320490000002,-0.571474244,-0.41503560799999994,-3.5052173030000002,-0.461859356,2.271486582,0.711234158,-1.590768305,1.3956310680000001,-1.2882447670000001,0.699300699,4,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,4,0,0,1.5
