fe-1,CIHigh,CILow,MOS
-162126.59825933367,3.380332715,2.964494871,3.172413793
185503.7219477989,1.26447695,1.068856384,1.166666667
-126571.56289184799,3.665622055,3.092998635,3.379310345
-140977.37820977566,1.552327478,1.206293212,1.379310345
10851.30493833433,4.452997027,3.975574401,4.214285714
-102559.467085344,3.857237033,3.384142278,3.620689655
234048.40473543803,4.392735837,3.814160715,4.103448276
519840.31576796295,4.581469014,3.989959557,4.285714286
216089.48208071638,2.986568337,2.293431663,2.64
-13707.497043380608,1.467294188,1.153395467,1.310344828
127680.37018159019,4.257197985,3.639353739,3.948275862
650895.8927554621,4.804087,4.368326794,4.586206897
446900.3969938463,4.751477668,4.284236618,4.517857143
127653.8428387956,4.095679394,3.504320606,3.8
389387.7181766787,4.766305092,4.305123479,4.535714286
444428.5558834335,4.119839898,3.472752695,3.796296296
50030.00805463141,3.599130983,2.900869017,3.25
330019.08740889945,4.717505416,4.282494584,4.5
-141838.94618100818,2.637035504,2.190550702,2.413793103
-109808.71505541127,1.642556938,1.324109728,1.483333333
-182427.4743251621,3.014959093,2.449326621,2.732142857
-92459.22606301124,2.728516741,2.054091954,2.391304348
39461.28155597649,3.09915415,2.442512516,2.770833333
99947.85623601118,1.284138137,1.015861863,1.15
-168440.5553359372,3.231543121,2.732742593,2.982142857
-210408.3876641983,3.051922047,2.603250367,2.827586207
-210255.53414176777,2.624756782,2.153020996,2.388888889
114604.64662449254,1.294254321,1.050573265,1.172413793
292511.2337699376,1.471686809,0.994979857,1.233333333
344064.31788046705,3.075559963,2.385978499,2.730769231
356237.27653919515,2.486585659,1.977700056,2.232142857
-88041.5772627002,3.94604759,3.313211669,3.62962963
-102390.91582858282,3.909399125,3.469911219,3.689655172
-111800.11377080971,3.91045444,3.503338664,3.706896552
-199394.1183856862,1.621677784,1.278322216,1.45
-125529.4762140246,3.772468808,3.193048433,3.482758621
-5312.977245128239,1.442300703,1.057699297,1.25
-209904.49442154265,3.16710629,2.73289371,2.95
-155979.93954931013,3.462234023,3.020524597,3.24137931
-191340.0318144105,3.46412956,2.93587044,3.2
-8572.136847605541,2.147725643,1.552274357,1.85
-111409.41792087018,3.388944946,2.921399882,3.155172414
-26576.70746470085,4.225768921,3.636300045,3.931034483
-88873.05276727822,2.535804889,2.019750667,2.277777778
35595.50249867746,2.405101776,1.828231558,2.116666667
