fe-1,fe-2,CIHigh,CILow,MOS
-162126.59825933372,27921.841200337345,3.380332715,2.964494871,3.172413793
185503.72194779903,-66690.73377635333,1.26447695,1.068856384,1.166666667
-126571.562891848,-21905.741775528873,3.665622055,3.092998635,3.379310345
-140977.37820977552,-32090.968421830574,1.552327478,1.206293212,1.379310345
10851.304938334324,32573.86198143435,4.452997027,3.975574401,4.214285714
-102559.46708534402,3239.487211697405,3.857237033,3.384142278,3.620689655
234048.40473543815,62878.92683894051,4.392735837,3.814160715,4.103448276
519840.3157679629,13560.844450098668,4.581469014,3.989959557,4.285714286
216089.48208071644,23656.94236143872,2.986568337,2.293431663,2.64
-13707.497043380612,-58250.551724473735,1.467294188,1.153395467,1.310344828
127680.37018159022,74465.5778586485,4.257197985,3.639353739,3.948275862
650895.8927554621,-9791.139173857924,4.804087,4.368326794,4.586206897
446900.3969938463,12433.825912070834,4.751477668,4.284236618,4.517857143
127653.8428387956,74467.57207966616,4.095679394,3.504320606,3.8
389387.7181766788,36882.76969918133,4.766305092,4.305123479,4.535714286
444428.55588343344,12702.360080299777,4.119839898,3.472752695,3.796296296
50030.00805463142,10113.997947690514,3.599130983,2.900869017,3.25
330019.0874088995,2390.321083034596,4.717505416,4.282494584,4.5
-141838.9461810081,2659.549255889109,2.637035504,2.190550702,2.413793103
-109808.71505541124,-44567.06006826431,1.642556938,1.324109728,1.483333333
-182427.4743251619,-17999.632582844537,3.014959093,2.449326621,2.732142857
-92459.2260630112,34947.048352890466,2.728516741,2.054091954,2.391304348
39461.28155597649,2386.8508007158734,3.09915415,2.442512516,2.770833333
99947.85623601115,-13076.836433399001,1.284138137,1.015861863,1.15
-168440.5553359371,-30823.264128237348,3.231543121,2.732742593,2.982142857
-210408.38766419832,10589.186562057459,3.051922047,2.603250367,2.827586207
-210255.5341417678,10573.705386213878,2.624756782,2.153020996,2.388888889
114604.64662449254,-58966.831853206815,1.294254321,1.050573265,1.172413793
292511.2337699375,-96535.42824215558,1.471686809,0.994979857,1.233333333
344064.3178804672,-22136.99694882058,3.075559963,2.385978499,2.730769231
356237.2765391951,8646.435842461831,2.486585659,1.977700056,2.232142857
-88041.5772627002,-7414.18861775092,3.94604759,3.313211669,3.62962963
-102390.91582858283,3222.1749644419065,3.909399125,3.469911219,3.689655172
-111800.1137708097,4246.227563052592,3.91045444,3.503338664,3.706896552
-199394.1183856861,-8425.603062347815,1.621677784,1.278322216,1.45
-125529.47621402462,14861.66665488502,3.772468808,3.193048433,3.482758621
-5312.9772451282415,-36831.28296211332,1.442300703,1.057699297,1.25
-209904.49442154265,10536.717689978032,3.16710629,2.73289371,2.95
-155979.93954931007,27251.67786509968,3.462234023,3.020524597,3.24137931
-191340.03181441038,-559.139454223582,3.46412956,2.93587044,3.2
-8572.136847605547,16777.303415438604,2.147725643,1.552274357,1.85
-111409.41792087017,-7566.273027124872,3.388944946,2.921399882,3.155172414
-26576.707464700845,36651.45092160586,4.225768921,3.636300045,3.931034483
-88873.05276727819,30960.80513869131,2.535804889,2.019750667,2.277777778
35595.50249867747,-11943.18351100532,2.405101776,1.828231558,2.116666667
