fe-1,fe-2,fe-3,CIHigh,CILow,MOS
-162126.59825933375,27921.841200337334,-15479.956809282034,3.380332715,2.964494871,3.172413793
185503.72194779906,-66690.73377635339,-55513.50537891819,1.26447695,1.068856384,1.166666667
-126571.56289184802,-21905.74177552888,-1497.0751847916029,3.665622055,3.092998635,3.379310345
-140977.37820977555,-32090.96842183057,-5377.4039194436755,1.552327478,1.206293212,1.379310345
10851.304938334324,32573.86198143435,2312.8470919905044,4.452997027,3.975574401,4.214285714
-102559.46708534406,3239.487211697401,17240.12791168329,3.857237033,3.384142278,3.620689655
234048.40473543815,62878.92683894051,-13983.42387355139,4.392735837,3.814160715,4.103448276
519840.3157679627,13560.844450098666,9573.809645648884,4.581469014,3.989959557,4.285714286
216089.48208071655,23656.942361438727,-20048.952872207166,2.986568337,2.293431663,2.64
-13707.49704338061,-58250.55172447373,-20111.226174822703,1.467294188,1.153395467,1.310344828
127680.3701815902,74465.5778586485,-9678.065296166635,4.257197985,3.639353739,3.948275862
650895.892755462,-9791.139173857911,21798.100385054986,4.804087,4.368326794,4.586206897
446900.39699384634,12433.825912070812,30047.306096160144,4.751477668,4.284236618,4.517857143
127653.84283879561,74467.57207966616,-9674.147833917406,4.095679394,3.504320606,3.8
389387.71817667864,36882.76969918131,-2743.7034035295615,4.766305092,4.305123479,4.535714286
444428.55588343344,12702.360080299766,30147.797834654964,4.119839898,3.472752695,3.796296296
50030.008054631406,10113.997947690512,35856.49758971006,3.599130983,2.900869017,3.25
330019.08740889945,2390.3210830345897,-3730.5014304131637,4.717505416,4.282494584,4.5
-141838.9461810081,2659.5492558891065,-9373.372055569029,2.637035504,2.190550702,2.413793103
-109808.71505541122,-44567.06006826429,10893.211824471808,1.642556938,1.324109728,1.483333333
-182427.47432516195,-17999.632582844544,12689.93205656768,3.014959093,2.449326621,2.732142857
-92459.22606301119,34947.048352890466,-17766.175586440357,2.728516741,2.054091954,2.391304348
39461.28155597649,2386.85080071587,12023.3677836012,3.09915415,2.442512516,2.770833333
99947.85623601117,-13076.83643339899,-63898.76644908675,1.284138137,1.015861863,1.15
-168440.55533593704,-30823.264128237355,30836.418217061506,3.231543121,2.732742593,2.982142857
-210408.38766419826,10589.18656205746,-18558.33224446556,3.051922047,2.603250367,2.827586207
-210255.53414176774,10573.705386213886,-18563.33285136987,2.624756782,2.153020996,2.388888889
114604.64662449254,-58966.83185320684,-52643.449263372335,1.294254321,1.050573265,1.172413793
292511.23376993736,-96535.42824215555,-24718.941829645228,1.471686809,0.994979857,1.233333333
344064.3178804673,-22136.996948820593,-46198.865962766096,3.075559963,2.385978499,2.730769231
356237.2765391948,8646.43584246183,-22395.15536606321,2.486585659,1.977700056,2.232142857
-88041.5772627002,-7414.188617750923,34175.465587755134,3.94604759,3.313211669,3.62962963
-102390.91582858285,3222.1749644419056,17231.886545485515,3.909399125,3.469911219,3.689655172
-111800.11377080971,4246.227563052584,17617.129714996907,3.91045444,3.503338664,3.706896552
-199394.11838568602,-8425.603062347825,-8112.180355939639,1.621677784,1.278322216,1.45
-125529.47621402463,14861.666654885019,558.1294203754279,3.772468808,3.193048433,3.482758621
-5312.97724512824,-36831.282962113335,-65310.31231060729,1.442300703,1.057699297,1.25
-209904.49442154265,10536.71768997803,-18576.197263964616,3.16710629,2.73289371,2.95
-155979.93954931005,27251.67786509967,-15730.910987405208,3.462234023,3.020524597,3.24137931
-191340.03181441044,-559.1394542235882,-1805.045961936957,3.46412956,2.93587044,3.2
-8572.136847605547,16777.3034154386,-3720.247692908872,2.147725643,1.552274357,1.85
-111409.41792087021,-7566.273027124873,13194.476860766204,3.388944946,2.921399882,3.155172414
-26576.70746470085,36651.45092160584,3828.945062518337,4.225768921,3.636300045,3.931034483
-88873.05276727822,30960.805138691303,-27498.59865367547,2.535804889,2.019750667,2.277777778
35595.502498677466,-11943.183511005323,32611.76894847628,2.405101776,1.828231558,2.116666667
317597.8308897547,3485.164519697746,-6551.012843514174,2.746840825,2.218676416,2.482758621
417683.2830620288,-16487.851371332377,6916.163849700293,3.0643401,2.528252492,2.796296296
-127985.57156894452,15127.138577142576,656.6106217215189,3.653463529,3.070674402,3.362068966
-156881.11424114942,27348.843342941116,-15694.26696292539,3.432505962,2.867494038,3.15
-224695.9003351933,-12602.154994222681,-33152.34357549737,1.659640274,1.271394209,1.465517241
-155985.79360999193,27251.663447120634,-15728.837560404783,3.653463529,3.070674402,3.362068966
-102740.13104542746,3260.8968369155446,17240.38838310513,3.720526178,3.246140488,3.483333333
-112286.88048184241,10143.051270091557,-28099.825686460037,1.786571514,1.313428486,1.55
-191644.61798483293,-527.3264533826039,-1790.4020473039775,3.094947531,2.491259366,2.793103448
-170157.8720019976,15009.352833637362,-24267.122355163,2.790403103,2.276263564,2.533333333
-169722.03455831634,13433.490739747731,-17659.61035313329,3.12457995,2.57542005,2.85
7075.798715895018,32986.12210868921,2460.141568730076,4.23399043,3.535240339,3.884615385
-125345.1197158572,14842.065660352922,550.097276784989,3.954853907,3.366574665,3.660714286
507285.50717909046,14926.957384404313,10085.791488242661,3.044920759,2.339694626,2.692307692
-178537.71721144038,-11070.300380615268,15281.92815922891,3.394160216,2.89155407,3.142857143
-156359.61151131228,27291.71332072676,-15718.15808663917,3.636244181,3.018928233,3.327586207
389190.7228423983,-48615.378784341985,2411.5975295225353,3.95457961,3.30467965,3.62962963
-163367.9424092969,-21797.332188098568,32191.98993111566,3.369995498,2.880004502,3.125
-120360.21443036046,-10134.504422074204,15464.959965841705,3.531309226,3.020414912,3.275862069
477412.6598567943,-17033.31492832581,5594.913974668073,2.686788331,2.05395241,2.37037037
51809.71371273872,9921.899265425911,35785.163221922376,4.672867535,4.18920143,4.431034483
103837.30728488122,4252.593833247859,33681.60574339118,4.592530589,4.157469411,4.375
-133024.93531949105,15677.97926695605,864.3225552550829,3.454788469,2.978544864,3.216666667
305227.31577851705,-30128.480711949447,-8409.690202033016,3.764962853,3.028140595,3.396551724
-177088.98264742017,-11232.900392403237,15229.401396701673,3.324814232,2.847599561,3.086206897
-177783.06979999677,-11158.49126056281,15258.612051585376,2.653067263,2.154625045,2.403846154
-184052.13990181382,-19156.95157361668,9777.272752285042,3.28166657,2.785000097,3.033333333
-154773.63207690237,-11063.61052081877,-9864.415822993058,2.303374142,1.770699932,2.037037037
246964.0374885818,52400.00887065738,3015.7410641498614,4.518530885,4.014802449,4.266666667
-63313.49573131712,31773.935259829042,-18946.931147272906,2.970983131,2.251239091,2.611111111
-178650.87197956772,-11062.867833753997,15292.766710479978,3.348464581,2.85843197,3.103448276
-111511.39139821602,4217.331928558755,17600.554249793135,3.884859971,3.329425744,3.607142857
593669.3936262793,-38771.4842323,18411.513963217218,2.156586714,1.73996501,1.948275862
-54213.74295760129,-53834.446076068794,-18474.847840286544,1.387269538,1.079397128,1.233333333
209985.06856173146,33395.45212893733,-37321.94436706812,3.210241176,2.419388454,2.814814815
232965.87574050637,62995.37501995426,-13937.367352880128,4.400800178,3.806096374,4.103448276
-190899.24390901675,-610.2798563105058,-1825.222990436511,3.257015236,2.742984764,3.0
104026.95410753023,45195.95266947894,-29712.556585773113,3.576319397,2.84034727,3.208333333
-208889.81068729365,10423.58269003476,-18617.653682087763,3.24043084,2.828534677,3.034482759
-161907.1768225564,-21920.515098350726,32060.321462254265,3.460340236,2.987935627,3.224137931
11216.352421594485,23418.28607615334,19904.38354733591,4.364099225,3.778757918,4.071428571
-192550.92346794248,-23579.674079202654,-40949.44837221026,1.770033908,1.363299425,1.566666667
-26717.79814592113,36667.71102989087,3831.785987852418,4.373132173,3.780713981,4.076923077
10855.216251975808,32573.670933483398,2311.673330918926,4.371789143,3.869590168,4.120689655
97204.74851089453,4979.3476501165815,33942.18420779371,3.002162168,2.354980689,2.678571429
-77373.0694526421,51259.12032247859,-11640.217338242566,2.728559181,2.057155105,2.392857143
634664.4833016017,-8022.255790935802,22450.535901180618,2.694792401,1.945207599,2.32
-77647.13002551925,-8549.655974165575,33757.39842326612,3.923636291,3.335622968,3.62962963
-190387.4595414204,-665.1960614797362,-1843.7495985845105,3.249159055,2.784174278,3.016666667
