fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,CIHigh,CILow,MOS
-162126.59825933372,27921.841200337345,-15479.956809282034,-5045.304908306038,-73.20762136641673,240.60131910048236,-6109.3536508587,3.380332715,2.964494871,3.172413793
185503.72194779903,-66690.73377635333,-55513.50537891819,-3833.9116736574033,1253.4162644201215,-17511.583522158307,9740.315514383592,1.26447695,1.068856384,1.166666667
-126571.562891848,-21905.741775528873,-1497.0751847916029,18507.148546627726,-7891.283239722314,23158.03715155363,2067.5690766944895,3.665622055,3.092998635,3.379310345
-140977.37820977552,-32090.968421830574,-5377.4039194436755,26187.68142688298,-8561.5911529263,-3142.0630952812203,2875.5860318184364,1.552327478,1.206293212,1.379310345
10851.304938334324,32573.86198143435,2312.8470919905044,-617.0863973911654,-58.214776795513224,-387.23977422174744,3437.510308411575,4.452997027,3.975574401,4.214285714
-102559.46708534402,3239.487211697405,17240.12791168329,2545.7015760445256,-900.2663419016222,2439.497711488367,882.9946881074251,3.857237033,3.384142278,3.620689655
234048.40473543815,62878.92683894051,-13983.42387355139,-3807.0111722439724,604.8325400255675,-5495.357314085535,1986.803272921918,4.392735837,3.814160715,4.103448276
519840.3157679629,13560.844450098668,9573.809645648884,2705.9911674562827,-2616.5488342048748,-10197.113459985576,-17831.1517324692,4.581469014,3.989959557,4.285714286
216089.48208071644,23656.94236143872,-20048.952872207166,33869.248497491586,38890.543618748256,23529.52356083859,4136.746243538366,2.986568337,2.293431663,2.64
-13707.497043380612,-58250.551724473735,-20111.226174822703,697.5644623934423,443.3653528790681,-8291.012199421604,10305.11179628354,1.467294188,1.153395467,1.310344828
127680.37018159022,74465.5778586485,-9678.065296166635,-3301.261535867259,1731.4262025127991,-2244.7970753191025,14615.808687432671,4.257197985,3.639353739,3.948275862
650895.8927554621,-9791.139173857924,21798.100385054986,6011.289906150163,-4101.712284667471,-12190.475770455092,-26349.654996956084,4.804087,4.368326794,4.586206897
446900.3969938463,12433.825912070834,30047.306096160144,6979.597634437039,-1941.6121556193514,-5961.056783815974,-2148.5770374509325,4.751477668,4.284236618,4.517857143
127653.8428387956,74467.57207966616,-9674.147833917406,-3300.6304375868967,1731.6418719080234,-2243.5334195603114,14619.475286374434,4.095679394,3.504320606,3.8
389387.7181766788,36882.76969918133,-2743.7034035295615,-617.6026820572478,-1137.4002894430416,-8230.06466103923,-9411.70360352723,4.766305092,4.305123479,4.535714286
444428.55588343344,12702.360080299777,30147.797834654964,6991.559326821996,-1915.4145911832109,-5885.682971939607,-1854.8103191984505,4.119839898,3.472752695,3.796296296
50030.00805463142,10113.997947690514,35856.49758971006,7070.235058568276,-668.2179192101702,2441.9449831020675,12881.309331454466,3.599130983,2.900869017,3.25
330019.0874088995,2390.321083034596,-3730.5014304131637,6352.709710336047,-55747.337954611845,15132.127615675043,7696.058785710122,4.717505416,4.282494584,4.5
-141838.9461810081,2659.549255889109,-9373.372055569029,13444.599378968469,16246.947087981207,13151.170178825709,-4536.232884230092,2.637035504,2.190550702,2.413793103
-109808.71505541124,-44567.06006826431,10893.211824471808,29969.390003570425,-8989.838358062547,-2091.022071573313,6185.938134343984,1.642556938,1.324109728,1.483333333
-182427.4743251619,-17999.632582844537,12689.93205656768,6868.314591549693,-1810.6077569309314,-13996.505640981615,-6308.239272199347,3.014959093,2.449326621,2.732142857
-92459.2260630112,34947.048352890466,-17766.175586440357,7561.171859071138,-139.3799452056869,-40030.934321256806,7124.025155729271,2.728516741,2.054091954,2.391304348
39461.28155597649,2386.8508007158734,12023.3677836012,14807.112479392896,-1732.4989812933854,-40039.979424644625,5534.497320892243,3.09915415,2.442512516,2.770833333
99947.85623601115,-13076.836433399001,-63898.76644908675,50461.550928667304,-16799.147829659563,-15900.855407634972,11692.128188458615,1.284138137,1.015861863,1.15
-168440.5553359371,-30823.264128237348,30836.418217061506,-9753.12673475215,3655.4836198291164,4003.154267648922,89.68643996010869,3.231543121,2.732742593,2.982142857
-210408.38766419832,10589.186562057459,-18558.33224446556,-5624.459426951325,-794.6837346563686,-467.656801754997,-16380.694206653397,3.051922047,2.603250367,2.827586207
-210255.5341417678,10573.705386213878,-18563.33285136987,-5625.318761931702,-796.431810675966,-471.73915803002876,-16400.225243338176,2.624756782,2.153020996,2.388888889
114604.64662449254,-58966.831853206815,-52643.449263372335,-3496.832039975263,2004.5538497801522,-15343.315015131873,18164.491412938907,1.294254321,1.050573265,1.172413793
292511.2337699375,-96535.42824215558,-24718.941829645228,3529.760690758976,-74.62619586263327,-16752.657640066,11140.146262756809,1.471686809,0.994979857,1.233333333
344064.3178804672,-22136.99694882058,-46198.865962766096,36004.34865211556,-17609.995609033453,39153.5628351793,-8098.219924000243,3.075559963,2.385978499,2.730769231
356237.2765391951,8646.435842461831,-22395.15536606321,2283.4749004128134,-55927.04339150628,12311.98919369609,-2476.966342429308,2.486585659,1.977700056,2.232142857
-88041.5772627002,-7414.18861775092,34175.465587755134,6403.600322374291,-1151.1998484857838,4006.630758979581,6196.011654332355,3.94604759,3.313211669,3.62962963
-102390.91582858283,3222.1749644419065,17231.886545485515,2544.5165666643334,-902.0519087972282,2434.293194897355,862.1220952382231,3.909399125,3.469911219,3.689655172
-111800.1137708097,4246.227563052592,17617.129714996907,2589.8765208455384,-801.9620125546548,2726.2872687401946,1995.7596943553085,3.91045444,3.503338664,3.706896552
-199394.1183856861,-8425.603062347815,-8112.180355939639,7412.2857519592835,9386.859531617392,8400.138837909031,-12551.896704026,1.621677784,1.278322216,1.45
-125529.47621402462,14861.66665488502,558.1294203754279,-1292.3678462975477,-558.854673602121,1124.6558805523525,-3447.6332212314624,3.772468808,3.193048433,3.482758621
-5312.9772451282415,-36831.28296211332,-65310.31231060729,-6853.463406549967,3371.6306180582856,-13688.685519196411,25364.6057780432,1.442300703,1.057699297,1.25
-209904.49442154265,10536.717689978032,-18576.197263964616,-5627.119760526366,-800.2962380497491,-481.8218730201055,-16443.371874304892,3.16710629,2.73289371,2.95
-155979.93954931007,27251.67786509968,-15730.910987405208,-5074.575049129083,-138.75146089478923,48.35510017372067,-6854.922636003876,3.462234023,3.020524597,3.24137931
-191340.03181441038,-559.139454223582,-1805.045961936957,-1788.1432387867544,-1094.5804266481653,957.365105122667,-11626.385005417238,3.46412956,2.93587044,3.2
