fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,CIHigh,CILow,MOS
-162126.59825933375,27921.841200337334,-15479.956809282034,-5045.304908306039,-73.20762136641673,240.60131910048236,-6109.35365085868,522.7156068744127,3.380332715,2.964494871,3.172413793
185503.72194779906,-66690.73377635339,-55513.50537891821,-3833.9116736574183,1253.4162644201215,-17511.583522158307,9740.315514383621,-411.29255613590664,1.26447695,1.068856384,1.166666667
-126571.56289184802,-21905.74177552888,-1497.0751847916051,18507.14854662773,-7891.283239722314,23158.03715155363,2067.5690766944945,362.5843055862785,3.665622055,3.092998635,3.379310345
-140977.37820977555,-32090.96842183057,-5377.403919443678,26187.681426882984,-8561.5911529263,-3142.0630952812203,2875.586031818445,498.46870836153437,1.552327478,1.206293212,1.379310345
10851.304938334324,32573.86198143435,2312.8470919905053,-617.0863973911671,-58.214776795513224,-387.23977422174744,3437.510308411577,-587.5409548578466,4.452997027,3.975574401,4.214285714
-102559.46708534406,3239.487211697401,17240.12791168328,2545.701576044527,-900.2663419016222,2439.497711488367,882.9946881074288,-568.3023886753112,3.857237033,3.384142278,3.620689655
234048.40473543815,62878.92683894051,-13983.423873551395,-3807.011172244001,604.8325400255675,-5495.357314085535,1986.8032729219408,-506.81492620522886,4.392735837,3.814160715,4.103448276
519840.3157679627,13560.844450098666,9573.809645648886,2705.991167456267,-2616.5488342048748,-10197.113459985576,-17831.151732469203,-72.02086521728215,4.581469014,3.989959557,4.285714286
216089.48208071655,23656.942361438727,-20048.952872207177,33869.24849749156,38890.543618748256,23529.52356083859,4136.746243538377,372.5111937519501,2.986568337,2.293431663,2.64
-13707.49704338061,-58250.55172447373,-20111.226174822707,697.5644623934422,443.3653528790681,-8291.012199421604,10305.11179628354,-537.8525022173276,1.467294188,1.153395467,1.310344828
127680.3701815902,74465.5778586485,-9678.06529616664,-3301.261535867275,1731.4262025127991,-2244.7970753191025,14615.808687432685,244.56715345890257,4.257197985,3.639353739,3.948275862
650895.892755462,-9791.139173857911,21798.10038505498,6011.289906150136,-4101.712284667471,-12190.475770455092,-26349.654996956135,117.94943480566305,4.804087,4.368326794,4.586206897
446900.39699384634,12433.825912070812,30047.306096160133,6979.597634437016,-1941.6121556193514,-5961.056783815974,-2148.5770374509525,640.4610525059567,4.751477668,4.284236618,4.517857143
127653.84283879561,74467.57207966616,-9674.147833917415,-3300.630437586918,1731.6418719080234,-2243.5334195603114,14619.475286374442,243.35125047669652,4.095679394,3.504320606,3.8
389387.71817667864,36882.76969918131,-2743.7034035295587,-617.6026820572519,-1137.4002894430416,-8230.06466103923,-9411.70360352724,-260.1661174985536,4.766305092,4.305123479,4.535714286
444428.55588343344,12702.360080299766,30147.79783465495,6991.559326821973,-1915.4145911832109,-5885.682971939607,-1854.810319198454,635.5127644057675,4.119839898,3.472752695,3.796296296
50030.008054631406,10113.997947690512,35856.49758971004,7070.235058568275,-668.2179192101702,2441.9449831020675,12881.30933145447,274.72895610646185,3.599130983,2.900869017,3.25
330019.08740889945,2390.3210830345897,-3730.50143041316,6352.709710336031,-55747.337954611845,15132.127615675043,7696.058785710124,419.25415077321964,4.717505416,4.282494584,4.5
-141838.9461810081,2659.5492558891065,-9373.37205556903,13444.599378968469,16246.947087981207,13151.170178825709,-4536.232884230091,472.7332716044387,2.637035504,2.190550702,2.413793103
-109808.71505541122,-44567.06006826429,10893.211824471791,29969.39000357043,-8989.838358062547,-2091.022071573313,6185.938134343985,-542.1687725994287,1.642556938,1.324109728,1.483333333
-182427.47432516195,-17999.632582844544,12689.932056567683,6868.314591549688,-1810.6077569309314,-13996.505640981615,-6308.23927219934,-379.3909253366448,3.014959093,2.449326621,2.732142857
-92459.22606301119,34947.048352890466,-17766.175586440364,7561.17185907114,-139.3799452056869,-40030.934321256806,7124.025155729277,517.2724884839216,2.728516741,2.054091954,2.391304348
39461.28155597649,2386.85080071587,12023.367783601203,14807.112479392901,-1732.4989812933854,-40039.979424644625,5534.497320892242,-408.5692773802152,3.09915415,2.442512516,2.770833333
99947.85623601117,-13076.83643339899,-63898.76644908674,50461.55092866732,-16799.147829659563,-15900.855407634972,11692.128188458608,-489.36019239625796,1.284138137,1.015861863,1.15
-168440.55533593704,-30823.264128237355,30836.41821706151,-9753.126734752152,3655.4836198291164,4003.154267648922,89.68643996012865,443.7416193534586,3.231543121,2.732742593,2.982142857
-210408.38766419826,10589.18656205746,-18558.33224446557,-5624.459426951324,-794.6837346563686,-467.656801754997,-16380.69420665338,696.2443749337284,3.051922047,2.603250367,2.827586207
-210255.53414176774,10573.705386213886,-18563.332851369873,-5625.3187619317,-796.431810675966,-471.73915803002876,-16400.22524333816,693.1914384118987,2.624756782,2.153020996,2.388888889
114604.64662449254,-58966.83185320684,-52643.44926337233,-3496.832039975267,2004.5538497801522,-15343.315015131873,18164.491412938904,424.23679734434535,1.294254321,1.050573265,1.172413793
292511.23376993736,-96535.42824215555,-24718.94182964524,3529.7606907589848,-74.62619586263327,-16752.657640066,11140.146262756818,608.212121275194,1.471686809,0.994979857,1.233333333
344064.3178804673,-22136.996948820593,-46198.86596276608,36004.348652115565,-17609.995609033453,39153.5628351793,-8098.219924000256,-394.54886482740676,3.075559963,2.385978499,2.730769231
356237.2765391948,8646.43584246183,-22395.1553660632,2283.474900412814,-55927.04339150628,12311.98919369609,-2476.966342429307,-397.7494867603596,2.486585659,1.977700056,2.232142857
-88041.5772627002,-7414.188617750923,34175.46558775513,6403.600322374289,-1151.1998484857838,4006.630758979581,6196.011654332364,347.72285414512646,3.94604759,3.313211669,3.62962963
-102390.91582858285,3222.1749644419056,17231.88654548551,2544.5165666643347,-902.0519087972282,2434.293194897355,862.122095238228,-568.4231990693227,3.909399125,3.469911219,3.689655172
-111800.11377080971,4246.227563052584,17617.129714996896,2589.8765208455397,-801.9620125546548,2726.2872687401946,1995.7596943553206,408.0176108533173,3.91045444,3.503338664,3.706896552
-199394.11838568602,-8425.603062347825,-8112.180355939643,7412.28575195928,9386.859531617392,8400.138837909031,-12551.896704025998,636.2256468190782,1.621677784,1.278322216,1.45
-125529.47621402463,14861.666654885019,558.1294203754268,-1292.367846297548,-558.854673602121,1124.6558805523525,-3447.633221231453,-505.8328961678338,3.772468808,3.193048433,3.482758621
-5312.97724512824,-36831.282962113335,-65310.31231060727,-6853.463406549962,3371.6306180582856,-13688.685519196411,25364.60577804319,257.5472807493744,1.442300703,1.057699297,1.25
-209904.49442154265,10536.71768997803,-18576.19726396462,-5627.1197605263615,-800.2962380497491,-481.8218730201055,-16443.371874304874,690.3004933981106,3.16710629,2.73289371,2.95
-155979.93954931005,27251.67786509967,-15730.9109874052,-5074.575049129083,-138.75146089478923,48.35510017372067,-6854.922636003868,-460.7731197345596,3.462234023,3.020524597,3.24137931
-191340.03181441044,-559.1394542235882,-1805.0459619369594,-1788.1432387867515,-1094.5804266481653,957.365105122667,-11626.385005417225,617.5807102739619,3.46412956,2.93587044,3.2
-8572.136847605547,16777.3034154386,-3720.2476929088725,11071.459571657042,-1125.2699902375389,-40598.87201190656,4146.316027630327,-402.2112499261432,2.147725643,1.552274357,1.85
-111409.41792087021,-7566.273027124873,13194.476860766204,10196.169546694815,-1645.6606475438134,-24020.30615679042,853.0334106833068,-435.30207462478734,3.388944946,2.921399882,3.155172414
-26576.70746470085,36651.45092160584,3828.945062518335,-439.1611558309742,338.517539643484,759.5435675295734,7892.070411736407,323.57975123109173,4.225768921,3.636300045,3.931034483
-88873.05276727822,30960.805138691303,-27498.59865367548,18527.619896110828,26734.772618702078,18422.181059832186,3548.7848216235557,318.55676531712595,2.535804889,2.019750667,2.277777778
35595.502498677466,-11943.183511005323,32611.768948476278,-31661.35445191456,12278.410294391608,2204.9338803408664,15436.47801836633,239.40182623513556,2.405101776,1.828231558,2.116666667
317597.8308897547,3485.164519697746,-6551.012843514171,37332.04498525983,37717.59782069854,22447.373143636338,-849.428303395754,489.0631203930464,2.746840825,2.218676416,2.482758621
417683.2830620288,-16487.851371332377,6916.163849700292,40782.24172460791,36560.34741933009,21398.048467172466,-5700.180107221403,606.5724114644973,3.0643401,2.528252492,2.796296296
-127985.57156894452,15127.138577142576,656.6106217215176,-1280.3294223987077,-532.6657443545249,1198.8855344215167,-3154.100321116866,-506.7110239315733,3.653463529,3.070674402,3.362068966
