fe-1,CIHigh,CILow,MOS
-96471.00174229167,3.824198457,3.329647696,3.576923077
-190899.2439090163,3.257015236,2.742984764,3.0
519840.3157679629,4.581469014,3.989959557,4.285714286
51809.71371273872,4.672867535,4.18920143,4.431034483
650895.8927554617,4.804087,4.368326794,4.586206897
-155985.79360999184,3.653463529,3.070674402,3.362068966
-8572.136847605523,2.147725643,1.552274357,1.85
-178537.71721144035,3.394160216,2.89155407,3.142857143
-4587.588432627546,1.384178612,1.098580009,1.24137931
-177088.98264742014,3.324814232,2.847599561,3.086206897
50030.00805463147,3.599130983,2.900869017,3.25
-125345.11971585719,3.954853907,3.366574665,3.660714286
-49001.25318178601,3.453428328,2.925882017,3.189655172
347922.2314522346,4.785550297,4.325560814,4.555555556
-177783.06979999677,2.653067263,2.154625045,2.403846154
246964.0374885817,4.518530885,4.014802449,4.266666667
-196930.49038238882,3.107115012,2.596588692,2.851851852
-120360.21443036063,3.531309226,3.020414912,3.275862069
26676.55130162889,1.56564417,1.167689163,1.366666667
-109808.71505541114,1.642556938,1.324109728,1.483333333
127680.37018159017,4.257197985,3.639353739,3.948275862
-78041.96969912767,3.991799552,3.401057591,3.696428571
389387.7181766789,4.766305092,4.305123479,4.535714286
417683.28306202835,3.0643401,2.528252492,2.796296296
-208656.1098366185,3.109396031,2.640603969,2.875
246964.02876949642,4.586922149,4.190855629,4.388888889
102995.09709901222,3.658971212,3.055314503,3.357142857
-126571.562891848,3.665622055,3.092998635,3.379310345
-190387.4595414203,3.249159055,2.784174278,3.016666667
39461.28155597659,3.09915415,2.442512516,2.770833333
-186353.742503439,1.529546306,1.23712036,1.383333333
-208889.8106872934,3.24043084,2.828534677,3.034482759
-56563.329332473244,1.400678788,1.15104535,1.275862069
-42560.93726866816,2.55951845,1.976195836,2.267857143
-96939.31772145322,3.809449298,3.362964496,3.586206897
-172152.59757377664,2.137035504,1.690550702,1.913793103
-26583.5577948773,4.329362543,3.770637457,4.05
-178650.8719795676,3.348464581,2.85843197,3.103448276
-178608.71097964683,3.430356437,3.002976896,3.216666667
-169722.03455831646,3.12457995,2.57542005,2.85
-26576.707464700725,4.225768921,3.636300045,3.931034483
-133621.51855550037,3.574117983,3.046571672,3.310344828
-209904.49442154253,3.16710629,2.73289371,2.95
99683.43760109121,2.241733096,1.758266904,2.0
593669.3936262797,2.156586714,1.73996501,1.948275862
-163371.80213962417,3.421011653,2.986395754,3.203703704
386217.68630594574,2.692561138,1.950296004,2.321428571
-88041.57726270011,3.94604759,3.313211669,3.62962963
309437.32018537517,1.377270849,1.056062484,1.216666667
-180571.34847091234,1.592996662,1.240336671,1.416666667
240152.0435078191,3.469450144,2.923406999,3.196428571
444428.5558834333,4.119839898,3.472752695,3.796296296
52139.936796535585,4.655644914,4.137458535,4.396551724
330019.0874088996,4.717505416,4.282494584,4.5
11216.352421594613,4.364099225,3.778757918,4.071428571
9555.796908238915,3.431346944,2.747224484,3.089285714
435792.43342672393,1.363997599,1.102669068,1.233333333
-102559.46708534396,3.857237033,3.384142278,3.620689655
216089.48208071644,2.986568337,2.293431663,2.64
-196314.94908131598,3.319639376,2.7838089,3.051724138
99227.65415197522,4.386792309,3.909503987,4.148148148
344064.3178804672,3.075559963,2.385978499,2.730769231
-48589.140470190294,3.799760206,3.165757036,3.482758621
-166880.55042359012,3.523768328,2.976231672,3.25
-184052.13990181385,3.28166657,2.785000097,3.033333333
-170157.87200199743,2.790403103,2.276263564,2.533333333
-182389.01502354728,1.868626477,1.476201109,1.672413793
-102740.1310454273,3.720526178,3.246140488,3.483333333
-191915.69020242395,2.518109498,1.948557169,2.233333333
-77647.1300255191,3.923636291,3.335622968,3.62962963
356237.2765391954,2.486585659,1.977700056,2.232142857
-156359.61151131234,3.636244181,3.018928233,3.327586207
-155979.93954931005,3.462234023,3.020524597,3.24137931
-13707.49704338054,1.467294188,1.153395467,1.310344828
-111511.39139821591,3.884859971,3.329425744,3.607142857
-5312.977245128216,1.442300703,1.057699297,1.25
-213707.64668739523,2.576073139,2.123926861,2.35
-161757.64749986108,3.312221095,2.887778905,3.1
-77373.06945264204,2.728559181,2.057155105,2.392857143
-101098.87213979197,1.424230754,1.075769246,1.25
234048.40473543818,4.392735837,3.814160715,4.103448276
-209627.37297721815,3.060916712,2.639083288,2.85
43566.18165511445,4.625796982,4.159917303,4.392857143
634664.4833016021,2.694792401,1.945207599,2.32
317597.83088975464,2.746840825,2.218676416,2.482758621
-110981.10054968385,1.513780279,1.186219721,1.35
10855.216251976,4.371789143,3.869590168,4.120689655
176344.484468376,1.965763382,1.498522332,1.732142857
-53392.24618411097,1.868626477,1.476201109,1.672413793
-190106.4398123921,3.448905722,2.930404623,3.189655172
-199001.3953729736,1.362669765,1.137330235,1.25
104026.95410753023,3.576319397,2.84034727,3.208333333
389190.72284239816,3.95457961,3.30467965,3.62962963
97204.74851089483,3.002162168,2.354980689,2.678571429
-51096.59293513654,2.501572021,1.9811866,2.24137931
232965.8757405064,4.400800178,3.806096374,4.103448276
-156881.11424114933,3.432505962,2.867494038,3.15
-182427.4743251619,3.014959093,2.449326621,2.732142857
-163813.62765336706,3.551922047,3.103250367,3.327586207
446900.3969938462,4.751477668,4.284236618,4.517857143
-162126.59825933375,3.380332715,2.964494871,3.172413793
-26717.798145921075,4.373132173,3.780713981,4.076923077
-133309.22184593457,3.669138913,3.145675902,3.407407407
-224695.900335193,1.659640274,1.271394209,1.465517241
-112286.88048184244,1.786571514,1.313428486,1.55
-132848.52508760942,3.846189416,3.296667727,3.571428571
36943.09035456156,2.646890722,2.056812981,2.351851852
-210408.3876641982,3.051922047,2.603250367,2.827586207
-125529.47621402457,3.772468808,3.193048433,3.482758621
-161907.1768225563,3.460340236,2.987935627,3.224137931
-154254.64509202214,1.765816215,1.400850451,1.583333333
-111800.11377080971,3.91045444,3.503338664,3.706896552
292511.23376993765,1.471686809,0.994979857,1.233333333
-226955.4181620551,1.945329132,1.488004202,1.716666667
127653.8428387956,4.095679394,3.504320606,3.8
-141838.94618100807,2.637035504,2.190550702,2.413793103
-131948.61699090266,1.74043084,1.328534677,1.534482759
-191644.6179848328,3.094947531,2.491259366,2.793103448
-199394.1183856862,1.621677784,1.278322216,1.45
7075.7987158951,4.23399043,3.535240339,3.884615385
11221.217982546108,4.549695967,4.021732605,4.285714286
507285.5071790907,3.044920759,2.339694626,2.692307692
185503.7219477989,1.26447695,1.068856384,1.166666667
-133024.93531949088,3.454788469,2.978544864,3.216666667
-140977.37820977546,1.552327478,1.206293212,1.379310345
194960.65869782012,1.543937516,1.222729151,1.383333333
-163367.9424092969,3.369995498,2.880004502,3.125
305227.31577851693,3.764962853,3.028140595,3.396551724
-102390.9158285827,3.909399125,3.469911219,3.689655172
35595.50249867749,2.405101776,1.828231558,2.116666667
-111409.41792087004,3.388944946,2.921399882,3.155172414
-14347.637429978906,3.907056989,3.437770597,3.672413793
-177014.21774425707,3.373239619,2.937105209,3.155172414
209985.06856173143,3.210241176,2.419388454,2.814814815
-208652.22729858168,3.228121605,2.771878395,3.0
-76506.38212192181,3.849214939,3.150785061,3.5
-92459.2260630112,2.728516741,2.054091954,2.391304348
-88033.83864729259,4.041123384,3.392209949,3.716666667
-181960.25102534858,1.91045444,1.503338664,1.706896552
-87866.50211970834,3.165961789,2.619752497,2.892857143
517257.1429616264,4.659037443,4.269533986,4.464285714
477412.6598567942,2.686788331,2.05395241,2.37037037
-77623.80415645482,4.24461591,3.686418572,3.965517241
-154773.63207690264,2.303374142,1.770699932,2.037037037
10851.304938334428,4.452997027,3.975574401,4.214285714
-168440.55533593716,3.231543121,2.732742593,2.982142857
-191340.03181441032,3.46412956,2.93587044,3.2
-192550.9234679426,1.770033908,1.363299425,1.566666667
-54213.74295760126,1.387269538,1.079397128,1.233333333
103837.30728488129,4.592530589,4.157469411,4.375
114604.64662449254,1.294254321,1.050573265,1.172413793
-88873.0527672781,2.535804889,2.019750667,2.277777778
-190114.21770998166,3.444807906,3.003467956,3.224137931
632550.916224035,4.756993215,4.311972302,4.534482759
99947.85623601124,1.284138137,1.015861863,1.15
-210255.53414176765,2.624756782,2.153020996,2.388888889
-63313.49573131709,2.970983131,2.251239091,2.611111111
55361.814486334275,4.442228583,3.928141788,4.185185185
-162708.4457579385,2.558665314,1.941334686,2.25
-127985.57156894439,3.653463529,3.070674402,3.362068966
