fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,fe-9,fe-10,fe-11,fe-12,fe-13,fe-14,fe-15,fe-16,fe-17,CIHigh,CILow,MOS
-96471.00174229169,20285.016700989665,-25410.006765650058,-7633.3077631826945,-24941.318047789537,12721.709091305498,8548.169920032125,-301.5012528375775,-210.28209548661346,42.33793566557228,-2.370388712407281,5.4308596687945965,-0.36447621830524596,-0.8000090431574157,3.6880729188976957,7.728801886946096,1.480130183811626,3.824198457,3.329647696,3.576923077
-190899.2439090163,610.2798563107732,1825.2229904363494,1789.7435154970658,-1099.5449269987378,938.6065054827021,-11692.763481911565,374.42029588729974,-13.665976903844104,-20.577049618563645,3.548500299048269,5.221299646103214,-2.250808032975141,8.796475238383872,-10.588667026883112,-9.526729472394944,10.43298479135681,3.257015236,2.742984764,3.0
519840.31576796295,-13560.844450099445,-9573.809645649451,-2705.9911674568807,-2616.5488342041754,-10197.113459986133,-17831.15173246841,72.0208652142847,131.79221857602923,27.66731599627286,-32.72128725318807,-16.27663567919061,1.4223694236662519,10.42874294797726,-8.633628465436834,-2.1027410895755323,1.8341471630474746,4.581469014,3.989959557,4.285714286
51809.71371273872,-9921.899265424974,-35785.16322192126,-7061.455555444063,-687.2164349687729,2388.2254225573274,12668.329366015485,-274.9564062867394,-20.814828108527575,-35.92463622888017,14.692371839862394,1.2317877739548984,13.320668163378523,-6.321199393359261,-3.1857429659891148,7.218843689331014,1.8191010842943858,4.672867535,4.18920143,4.431034483
650895.8927554617,9791.139173858142,-21798.100385055164,-6011.289906150015,-4101.712284666176,-12190.475770455154,-26349.65499695799,-117.94943480038789,134.2340976990666,7.278243135365121,-27.485834032927475,-24.157693340625148,10.229552500354306,16.653094503477877,-12.68179468399011,4.563911362340951,4.1531994678361,4.804087,4.368326794,4.586206897
-155985.79360999184,-27251.663447120613,15728.837560403263,5074.202109515416,-138.71971717672477,48.819936614768245,-6853.808260113164,461.36743040614823,-156.27617829244736,-1.697439186430768,-19.25778053644346,8.57307632684084,-8.890034867455174,1.8454905491825153,-0.7011063553181344,-10.293317311159472,-1.0176650485688294,3.653463529,3.070674402,3.362068966
-8572.136847605525,-16777.30341543763,3720.2476929080385,-11071.459571656269,-1125.2699902355475,-40598.87201190706,4146.316027632713,402.21124993561176,-224.27676462754062,-71.25589112724573,-35.79793442006427,-22.76980211166921,-17.923988437937435,-7.452555338635169,12.188556053006954,4.556204589278983,-2.071457377468232,2.147725643,1.552274357,1.85
-178537.71721144035,11070.300380615568,-15281.92815922862,-2096.792467401878,-1328.3044122466297,2581.847779639401,-6092.918508221054,-531.1698491632383,-245.04798988420492,9.499050757201292,-25.109618996911315,10.451269802317752,4.441364862217676,5.468661460899159,-12.537192573945276,2.088051223485133,0.8830053201860926,3.394160216,2.89155407,3.142857143
-4587.588432627546,47064.659999527044,-11133.250748088767,-2744.842320343737,37080.501734018646,-19604.606893618984,14047.280940940931,-419.82023409820545,535.5186392711526,-43.30457823878124,13.781650788759805,-18.946614099274125,-43.864251390231196,12.738761234693873,-5.522392037659075,22.936551532202607,-7.377522042510244,1.384178612,1.098580009,1.24137931
-177088.98264742014,11232.900392403419,-15229.40139670094,-2091.6888881736486,-1344.1801453921478,2533.9490061722145,-6278.294552055686,463.6840858626508,-209.2512984554666,7.879651851665284,-8.589135905005634,6.8171286302057075,3.753507747145186,9.861613785334821,-11.495882797624121,-3.0441356899889174,5.139000128868763,3.324814232,2.847599561,3.086206897
50030.00805463147,-10113.99794768944,-35856.497589709295,-7070.23505856872,-668.2179192098807,2441.9449831014285,12881.309331455634,-274.72895611822855,139.7741577096235,-50.994560436955176,18.2236833197037,-0.6449472833703974,13.212484428998561,-7.152106681653242,-4.622596353790278,3.343655779626227,4.0108897682757245,3.599130983,2.900869017,3.25
-125345.11971585719,-14842.065660352862,-550.0972767851946,1293.4060038201637,-560.8143237253945,1119.0146444204254,-3469.914771115818,505.62609281336546,-147.99195626445277,3.592748316632952,-8.184548883693388,6.667883737016615,-3.8273241979419574,3.363393272614514,-4.182653713164079,-6.369863815428368,1.4030069489528485,3.954853907,3.366574665,3.660714286
-49001.25318178601,-48167.38971145781,12787.790589645338,4259.83331519268,673.157169043015,-566.3248469977624,3515.6614387282834,611.4324764396854,-44.63990682858151,-46.94162185714637,9.787047691146538,6.176204661505465,-6.933410802201027,-11.012630628339675,8.031942153992157,-6.734829204938022,-3.342408364048419,3.453428328,2.925882017,3.189655172
347922.2314522346,-32285.95898476468,-16536.08615006626,-3524.2664239157757,-796.0985257861417,-4945.407346563474,2571.0582169451163,-525.2452499678853,117.8276875050677,73.2861682439164,-6.671406997979296,5.796978006243198,-3.13265729509573,-1.8873834242992331,-8.871732189565254,-0.04093926949629928,-1.2227543420395188,4.785550297,4.325560814,4.555555556
-177783.06979999677,11158.491260562714,-15258.612051584223,-2095.377775984551,-1336.792999008927,2555.110322481103,-6194.898005426997,464.26067965465495,-163.39474927619275,2.9243435851354374,-9.998929118838191,11.0281591713883,3.4192172541765036,5.09544585610427,-10.767324635198491,-4.829675300084354,3.1492617289770193,2.653067263,2.154625045,2.403846154
246964.0374885817,-52400.00887065801,-3015.741064150106,-58.34523461592571,370.8824600001438,-3879.523277206722,7489.697329852852,-405.9954000319693,112.7950135345078,85.64313385076291,-19.134351592427862,10.821908416771064,-11.277353506873649,-6.254652212373473,-4.959967443785418,-6.3414008691629,-3.934767289284341,4.518530885,4.014802449,4.266666667
-196930.49038238882,7262.109974575503,4406.180802819033,-2973.7771147002472,-1557.8801195258914,-15573.846834168355,-11654.291105016684,-703.4718964152269,-172.17550262251626,-40.7791977028878,9.782613769719635,-10.421676771495333,-4.272230482737742,-15.936266438781745,21.884035638760647,23.810170576809263,-15.307173847677738,3.107115012,2.596588692,2.851851852
-120360.2144303606,10134.50442207425,-15464.959965841357,22522.00335632645,7584.076690910283,2545.4479626839548,3576.8105060880953,-394.27991699103126,16.634058792963216,22.819317148105068,-12.07692056793805,-19.4523640855048,8.178206370243515,5.849690714152455,6.169608019906981,-18.200988907434873,-9.840051036970697,3.531309226,3.020414912,3.275862069
26676.55130162889,71718.91671086643,4229.979698131629,-4431.085218514426,-81.8741552182007,-7518.3071507820305,12531.620564011399,560.8426227599226,-2.5689546659039486,151.09372183166252,-30.297581107298143,4.958243713734888,-55.40921459091965,0.4491037799122744,-2.443292676159897,-17.09347645054672,-9.6685134305072,1.56564417,1.167689163,1.366666667
-109808.71505541114,44567.06006826478,-10893.211824471698,-29969.390003569853,-8989.838358062938,-2091.022071574691,6185.938134344709,542.1687726143431,536.908229379107,76.9298268747068,19.20358066554138,12.87435807495546,-48.38353277678242,0.20162758006612405,-1.2189779725666139,13.173750201715208,0.4631997958526933,1.642556938,1.324109728,1.483333333
127680.37018159017,-74465.57785864946,9678.065296166198,3301.2615358673197,1731.4262025125145,-2244.7970753184063,14615.80868743127,-244.56715351677252,155.14329296097273,99.38114299709008,-11.832497354432398,17.67496055668896,-18.844199038479797,-10.442648680059044,-1.586768135846748,-12.663394351649918,-4.803686326553045,4.257197985,3.639353739,3.948275862
-78041.96969912767,8500.943727850206,-33760.3768386796,-6354.432048003862,-1257.3884957062953,3695.594322229487,4991.557092448504,624.4744193990334,-16.428704108685505,5.11883838395501,-20.285790903331453,-8.672722247356306,8.689323992981935,9.846803179361387,-11.432395462924587,-5.714400997542669,9.814085233053826,3.991799552,3.401057591,3.696428571
389387.7181766789,-36882.76969918212,2743.7034035294655,617.6026820572101,-1137.4002894425541,-8230.064661035743,-9411.70360352866,260.16611745101574,129.577800629736,50.3878781320674,11.283432650361803,1.7831588618739955,-8.229959243165784,2.8307868866138906,-4.61260940822105,-4.315443653277437,0.6213579263688531,4.766305092,4.305123479,4.535714286
417683.28306202835,16487.85137133102,-6916.163849700205,-40782.241724608895,36560.34741932755,21398.048467172302,-5700.180107221253,-606.5724114704844,-136.21461304716811,43.043752977781686,13.201917312367291,-3.3764154417102423,-3.7349556939043125,5.707655418958772,-4.979619324568387,6.4286107684722475,-11.408643814036365,3.0643401,2.528252492,2.796296296
-208656.1098366185,-10399.087565069514,18626.088821366495,5632.565155430362,-814.0445660093418,-524.1586296290503,-16607.519646497687,305.51084868409396,-240.4247540738642,-7.8187444184459975,-9.840421447728392,12.025059132221648,-6.19397634709778,6.581828480348837,-4.925534862411648,-7.3934957420022425,-0.4773295097532823,3.109396031,2.640603969,2.875
246964.02876949642,-52399.61725118459,-3015.341990118849,-58.39018601238664,370.92783994986036,-3879.7161249564288,7490.172924951778,-407.1442614290994,158.7003097779653,81.573222579093,-17.729628026274312,7.782365333900253,-10.77347185398066,-5.429403340497646,-5.346116486910968,-6.853459481890423,-2.405631914925989,4.586922149,4.190855629,4.388888889
102995.09709901222,-4346.599785653933,-33710.42896957724,-6817.721536319824,-1229.5585895470558,821.3302906853271,6582.007430683598,603.7399893989274,12.769232326664714,-51.51186755803136,9.856188642896065,-8.825302571950346,12.207246187606735,-0.2059069012368421,-2.665077367941817,2.7802922515284645,5.550647593394974,3.658971212,3.055314503,3.357142857
-126571.562891848,21905.741775528666,1497.0751847929507,-18507.148546626173,-7891.283239724343,23158.0371515532,2067.569076695803,-362.5843055870706,-287.5522119946184,58.065569108920236,18.71508369612153,-13.325620200306654,-8.601402232487606,-3.197722465699062,13.096922904049812,23.811514104905225,13.073192236258851,3.665622055,3.092998635,3.379310345
