fe-1,fe-2,CIHigh,CILow,MOS
-96471.00174229167,20285.01670098962,3.824198457,3.329647696,3.576923077
-190899.2439090163,610.2798563107829,3.257015236,2.742984764,3.0
519840.3157679629,-13560.844450099417,4.581469014,3.989959557,4.285714286
51809.71371273872,-9921.899265424954,4.672867535,4.18920143,4.431034483
650895.8927554617,9791.139173858133,4.804087,4.368326794,4.586206897
-155985.79360999184,-27251.663447120554,3.653463529,3.070674402,3.362068966
-8572.136847605523,-16777.303415437593,2.147725643,1.552274357,1.85
-178537.71721144035,11070.300380615548,3.394160216,2.89155407,3.142857143
-4587.588432627546,47064.65999952695,1.384178612,1.098580009,1.24137931
-177088.98264742014,11232.900392403397,3.324814232,2.847599561,3.086206897
50030.00805463147,-10113.997947689417,3.599130983,2.900869017,3.25
-125345.11971585719,-14842.065660352831,3.954853907,3.366574665,3.660714286
-49001.25318178601,-48167.389711457705,3.453428328,2.925882017,3.189655172
347922.2314522346,-32285.958984764613,4.785550297,4.325560814,4.555555556
-177783.06979999677,11158.491260562694,2.653067263,2.154625045,2.403846154
246964.0374885817,-52400.008870657904,4.518530885,4.014802449,4.266666667
-196930.49038238882,7262.109974575489,3.107115012,2.596588692,2.851851852
-120360.21443036063,10134.50442207423,3.531309226,3.020414912,3.275862069
26676.55130162889,71718.91671086627,1.56564417,1.167689163,1.366666667
-109808.71505541114,44567.06006826468,1.642556938,1.324109728,1.483333333
127680.37018159017,-74465.5778586493,4.257197985,3.639353739,3.948275862
-78041.96969912767,8500.943727850194,3.991799552,3.401057591,3.696428571
389387.7181766789,-36882.76969918205,4.766305092,4.305123479,4.535714286
417683.28306202835,16487.85137133099,3.0643401,2.528252492,2.796296296
-208656.1098366185,-10399.087565069492,3.109396031,2.640603969,2.875
246964.02876949642,-52399.61725118448,4.586922149,4.190855629,4.388888889
102995.09709901222,-4346.599785653924,3.658971212,3.055314503,3.357142857
-126571.562891848,21905.74177552862,3.665622055,3.092998635,3.379310345
-190387.4595414203,665.1960614792365,3.249159055,2.784174278,3.016666667
39461.28155597659,-2386.850800715412,3.09915415,2.442512516,2.770833333
-186353.742503439,17582.125847963027,1.529546306,1.23712036,1.383333333
-208889.8106872934,-10423.58269003541,3.24043084,2.828534677,3.034482759
-56563.329332473244,26534.50973306674,1.400678788,1.15104535,1.275862069
-42560.93726866816,-17115.224246641756,2.55951845,1.976195836,2.267857143
-96939.31772145322,20225.548858060727,3.809449298,3.362964496,3.586206897
-172152.59757377664,37771.62475971999,2.137035504,1.690550702,1.913793103
