fe-1,fe-2,fe-3,CIHigh,CILow,MOS
-96471.00174229167,20285.01670098967,-25410.006765649952,3.824198457,3.329647696,3.576923077
-190899.2439090163,610.2798563107871,1825.2229904363446,3.257015236,2.742984764,3.0
519840.3157679629,-13560.844450099405,-9573.809645649442,4.581469014,3.989959557,4.285714286
51809.71371273872,-9921.899265424978,-35785.16322192109,4.672867535,4.18920143,4.431034483
650895.8927554617,9791.139173858157,-21798.10038505507,4.804087,4.368326794,4.586206897
-155985.79360999184,-27251.663447120613,15728.837560403188,3.653463529,3.070674402,3.362068966
-8572.136847605523,-16777.30341543763,3720.2476929080185,2.147725643,1.552274357,1.85
-178537.71721144035,11070.300380615572,-15281.92815922855,3.394160216,2.89155407,3.142857143
-4587.588432627546,47064.65999952706,-11133.250748088722,1.384178612,1.098580009,1.24137931
-177088.98264742014,11232.90039240342,-15229.401396700869,3.324814232,2.847599561,3.086206897
50030.00805463147,-10113.997947689439,-35856.497589709135,3.599130983,2.900869017,3.25
-125345.11971585719,-14842.065660352864,-550.0972767851933,3.954853907,3.366574665,3.660714286
-49001.25318178601,-48167.389711457814,12787.790589645274,3.453428328,2.925882017,3.189655172
347922.2314522346,-32285.958984764682,-16536.08615006619,4.785550297,4.325560814,4.555555556
-177783.06979999677,11158.491260562718,-15258.612051584152,2.653067263,2.154625045,2.403846154
246964.0374885817,-52400.00887065801,-3015.7410641500965,4.518530885,4.014802449,4.266666667
-196930.49038238882,7262.1099745755055,4406.180802819014,3.107115012,2.596588692,2.851851852
-120360.21443036063,10134.504422074253,-15464.959965841292,3.531309226,3.020414912,3.275862069
26676.55130162889,71718.91671086644,4229.979698131615,1.56564417,1.167689163,1.366666667
-109808.71505541114,44567.06006826479,-10893.21182447164,1.642556938,1.324109728,1.483333333
127680.37018159017,-74465.57785864946,9678.065296166149,4.257197985,3.639353739,3.948275862
-78041.96969912767,8500.94372785021,-33760.37683867945,3.991799552,3.401057591,3.696428571
389387.7181766789,-36882.76969918213,2743.703403529449,4.766305092,4.305123479,4.535714286
417683.28306202835,16487.851371331024,-6916.163849700179,3.0643401,2.528252492,2.796296296
-208656.1098366185,-10399.087565069514,18626.088821366415,3.109396031,2.640603969,2.875
246964.02876949642,-52399.6172511846,-3015.34199011884,4.586922149,4.190855629,4.388888889
102995.09709901222,-4346.599785653935,-33710.42896957709,3.658971212,3.055314503,3.357142857
-126571.562891848,21905.74177552867,1497.0751847929487,3.665622055,3.092998635,3.379310345
-190387.4595414203,665.1960614792382,1843.749598584396,3.249159055,2.784174278,3.016666667
39461.28155597659,-2386.8508007154173,-12023.367783600695,3.09915415,2.442512516,2.770833333
-186353.742503439,17582.125847963067,-12842.859811632145,1.529546306,1.23712036,1.383333333
-208889.8106872934,-10423.582690035431,18617.653682086515,3.24043084,2.828534677,3.034482759
-56563.329332473244,26534.509733066803,29185.676392477693,1.400678788,1.15104535,1.275862069
-42560.93726866816,-17115.224246641796,9567.332444192378,2.55951845,1.976195836,2.267857143
-96939.31772145322,20225.548858060778,-25415.291051914493,3.809449298,3.362964496,3.586206897
-172152.59757377664,37771.62475972007,-28242.299657275154,2.137035504,1.690550702,1.913793103
-26583.5577948773,-36651.065434217824,-3830.566155434151,4.329362543,3.770637457,4.05
-178650.8719795676,11062.867833753833,-15292.76671047918,3.348464581,2.85843197,3.103448276
-178608.71097964683,11062.663455784386,-15284.681606687249,3.430356437,3.002976896,3.216666667
-169722.03455831646,-13433.490739748291,17659.610353131855,3.12457995,2.57542005,2.85
-26576.707464700725,-36651.45092160539,-3828.9450625180034,4.225768921,3.636300045,3.931034483
-133621.51855550037,-15741.948813769106,-886.0939702987907,3.574117983,3.046571672,3.310344828
-209904.49442154253,-10536.71768997859,18576.19726396363,3.16710629,2.73289371,2.95
99683.43760109121,-42300.42372682255,14245.533031396204,2.241733096,1.758266904,2.0
593669.3936262797,38771.48423230011,-18411.51396321766,2.156586714,1.73996501,1.948275862
-163371.80213962417,21798.278434605632,-32194.503462539837,3.421011653,2.986395754,3.203703704
386217.68630594574,-37229.05160606612,2618.199418354814,2.692561138,1.950296004,2.321428571
-88041.57726270011,7414.188617750528,-34175.46558775609,3.94604759,3.313211669,3.62962963
309437.32018537517,89263.16899558537,43007.2117321488,1.377270849,1.056062484,1.216666667
-180571.34847091234,45568.32806151454,-21891.49810098209,1.592996662,1.240336671,1.416666667
240152.0435078191,-53137.786292838166,-3295.7383288444817,3.469450144,2.923406999,3.196428571
444428.5558834333,-12702.360080300832,-30147.797834652672,4.119839898,3.472752695,3.796296296
52139.936796535585,-9887.385123787411,-35769.55001414438,4.655644914,4.137458535,4.396551724
330019.0874088996,-2390.3210830354255,3730.5014304141096,4.717505416,4.282494584,4.5
11216.352421594613,-23418.286076153207,-19904.383547334604,4.364099225,3.778757918,4.071428571
9555.796908238915,-23600.724802687702,-19966.818868024297,3.431346944,2.747224484,3.089285714
435792.43342672393,85548.54065771644,20471.53843849062,1.363997599,1.102669068,1.233333333
-102559.46708534396,-3239.487211698202,-17240.127911682735,3.857237033,3.384142278,3.620689655
216089.48208071644,-23656.942361439924,20048.95287220689,2.986568337,2.293431663,2.64
-196314.94908131598,9595.508776277957,3161.7653853085276,3.319639376,2.7838089,3.051724138
99227.65415197522,-4755.525827243192,-33862.49421533309,4.386792309,3.909503987,4.148148148
344064.3178804672,22136.99694881872,46198.865962767806,3.075559963,2.385978499,2.730769231
-48589.140470190294,-48122.91316287447,12805.278004868702,3.799760206,3.165757036,3.482758621
-166880.55042359012,30994.275163914677,-30775.6826224132,3.523768328,2.976231672,3.25
-184052.13990181385,19156.951573615894,-9777.272752282493,3.28166657,2.785000097,3.033333333
-170157.87200199743,-15009.352833638828,24267.122355161777,2.790403103,2.276263564,2.533333333
-182389.01502354728,45316.294066054055,-22849.53732877475,1.868626477,1.476201109,1.672413793
-102740.1310454273,-3260.8968369164663,-17240.388383106754,3.720526178,3.246140488,3.483333333
-191915.69020242395,27885.88916159358,-8528.71127531353,2.518109498,1.948557169,2.233333333
-77647.1300255191,8549.655974164772,-33757.39842326616,3.923636291,3.335622968,3.62962963
356237.2765391954,-8646.435842463332,22395.15536606308,2.486585659,1.977700056,2.232142857
-156359.61151131234,-27291.713320727726,15718.158086640575,3.636244181,3.018928233,3.327586207
-155979.93954931005,-27251.677865100606,15730.910987404162,3.462234023,3.020524597,3.24137931
-13707.49704338054,58250.551724472374,20111.226174822426,1.467294188,1.153395467,1.310344828
-111511.39139821591,-4217.331928559447,-17600.554249793073,3.884859971,3.329425744,3.607142857
-5312.977245128216,36831.28296211208,65310.3123106061,1.442300703,1.057699297,1.25
-213707.64668739523,-2212.9749811147676,25044.8498548222,2.576073139,2.123926861,2.35
-161757.64749986108,21975.321307285965,-32128.94291774616,3.312221095,2.887778905,3.1
-77373.06945264204,-51259.12032247941,11640.21733824229,2.728559181,2.057155105,2.392857143
-101098.87213979197,6926.48666683763,47846.5552769675,1.424230754,1.075769246,1.25
234048.40473543818,-62878.92683894204,13983.423873550546,4.392735837,3.814160715,4.103448276
-209627.37297721815,-10505.76063560626,18585.645417005653,3.060916712,2.639083288,2.85
43566.18165511445,3740.3625775692067,-14774.153173959654,4.625796982,4.159917303,4.392857143
634664.4833016021,8022.255790935086,-22450.53590118028,2.694792401,1.945207599,2.32
317597.83088975464,-3485.1645196996624,6551.012843513299,2.746840825,2.218676416,2.482758621
-110981.10054968385,32011.896479447998,-28211.923480804544,1.513780279,1.186219721,1.35
10855.216251976,-32573.670933483747,-2311.673330919545,4.371789143,3.869590168,4.120689655
176344.484468376,-1831.1631625830184,41623.89831047246,1.965763382,1.498522332,1.732142857
-53392.24618411097,-18012.320848377094,11421.450224733084,1.868626477,1.476201109,1.672413793
-190106.4398123921,695.2418077839021,1854.4766887904825,3.448905722,2.930404623,3.189655172
-199001.3953729736,7083.478348272487,4253.352899396658,1.362669765,1.137330235,1.25
104026.95410753023,-45195.95266948061,29712.55658577276,3.576319397,2.84034727,3.208333333
389190.72284239816,48615.37878434048,-2411.597529522675,3.95457961,3.30467965,3.62962963
97204.74851089483,-4979.34765011731,-33942.184207792954,3.002162168,2.354980689,2.678571429
-51096.59293513654,-48395.26188262564,12707.192109726951,2.501572021,1.9811866,2.24137931
232965.8757405064,-62995.37501995612,13937.367352878173,4.400800178,3.806096374,4.103448276
-156881.11424114933,-27348.843342942284,15694.266962924376,3.432505962,2.867494038,3.15
-182427.4743251619,17999.632582843697,-12689.932056567266,3.014959093,2.449326621,2.732142857
-163813.62765336706,21749.166463268528,-32209.156319098027,3.551922047,3.103250367,3.327586207
446900.3969938462,-12433.825912072216,-30047.306096160453,4.751477668,4.284236618,4.517857143
-162126.59825933375,-27921.84120033832,15479.956809281088,3.380332715,2.964494871,3.172413793
-26717.798145921075,-36667.711029890874,-3831.7859878522627,4.373132173,3.780713981,4.076923077
-133309.22184593457,-391.21379098535823,1612.3835811245197,3.669138913,3.145675902,3.407407407
-224695.900335193,12602.154994221604,33152.34357549839,1.659640274,1.271394209,1.465517241
-112286.88048184244,-10143.051270092574,28099.825686459608,1.786571514,1.313428486,1.55
-132848.52508760942,-15660.234905786858,-854.9481043550998,3.846189416,3.296667727,3.571428571
36943.09035456156,3017.0100441503023,-15034.833737703197,2.646890722,2.056812981,2.351851852
-210408.3876641982,-10589.186562058367,18558.332244465528,3.051922047,2.603250367,2.827586207
-125529.47621402457,-14861.66665488605,-558.1294203759692,3.772468808,3.193048433,3.482758621
-161907.1768225563,21920.51509834968,-32060.321462253534,3.460340236,2.987935627,3.224137931
-154254.64509202214,25077.723181466874,20528.21915776307,1.765816215,1.400850451,1.583333333
-111800.11377080971,-4246.227563053487,-17617.12971499634,3.91045444,3.503338664,3.706896552
292511.23376993765,96535.42824215424,24718.941829644893,1.471686809,0.994979857,1.233333333
-226955.4181620551,13200.058313845957,27993.982409482567,1.945329132,1.488004202,1.716666667
127653.8428387956,-74467.57207966775,9674.147833917148,4.095679394,3.504320606,3.8
-141838.94618100807,-2659.549255890767,9373.372055568558,2.637035504,2.190550702,2.413793103
-131948.61699090266,36620.907271165306,3822.0895889541825,1.74043084,1.328534677,1.534482759
-191644.6179848328,527.3264533813407,1790.402047303456,3.094947531,2.491259366,2.793103448
-199394.1183856862,8425.60306234613,8112.180355939061,1.621677784,1.278322216,1.45
7075.7987158951,-32986.12210869017,-2460.1415687302347,4.23399043,3.535240339,3.884615385
11221.217982546108,-23418.30674647264,-19902.251126885723,4.549695967,4.021732605,4.285714286
507285.5071790907,-14926.957384405885,-10085.791488243183,3.044920759,2.339694626,2.692307692
185503.7219477989,66690.73377635107,55513.50537891895,1.26447695,1.068856384,1.166666667
-133024.93531949088,-15677.979266957496,-864.3225552559054,3.454788469,2.978544864,3.216666667
-140977.37820977546,32090.96842182976,5377.403919444228,1.552327478,1.206293212,1.379310345
194960.65869782012,76837.82761683247,38291.31280587732,1.543937516,1.222729151,1.383333333
-163367.9424092969,21797.332188097025,-32191.989931114676,3.369995498,2.880004502,3.125
305227.31577851693,30128.4807119474,8409.69020203289,3.764962853,3.028140595,3.396551724
-102390.9158285827,-3222.1749644431843,-17231.886545486097,3.909399125,3.469911219,3.689655172
35595.50249867749,11943.18351100408,-32611.76894847487,2.405101776,1.828231558,2.116666667
-111409.41792087004,7566.273027123526,-13194.476860767394,3.388944946,2.921399882,3.155172414
-14347.637429978906,13297.012857944625,2132.144108339245,3.907056989,3.437770597,3.672413793
-177014.21774425707,11238.411006793853,-15221.578181770945,3.373239619,2.937105209,3.155172414
209985.06856173143,-33395.452128939745,37321.94436706717,3.210241176,2.419388454,2.814814815
-208652.22729858168,-10399.324023761601,18628.078846873625,3.228121605,2.771878395,3.0
-76506.38212192181,-51165.01145266423,11674.953404729895,3.849214939,3.150785061,3.5
-92459.2260630112,-34947.048352892,17766.175586440062,2.728516741,2.054091954,2.391304348
-88033.83864729259,7413.186502285306,-34170.77181432861,4.041123384,3.392209949,3.716666667
-181960.25102534858,-4327.707405874882,29675.37096695748,1.91045444,1.503338664,1.706896552
-87866.50211970834,21410.74765730407,-23566.79434772535,3.165961789,2.619752497,2.892857143
