fe-1,fe-2,fe-3,fe-4,CIHigh,CILow,MOS
-96471.00174229167,20285.01670098967,-25410.00676565015,-7633.307763182712,3.824198457,3.329647696,3.576923077
-190899.2439090163,610.2798563107871,1825.222990436351,1789.7435154970642,3.257015236,2.742984764,3.0
519840.3157679629,-13560.844450099405,-9573.809645649517,-2705.991167456875,4.581469014,3.989959557,4.285714286
51809.71371273872,-9921.899265424978,-35785.163221921364,-7061.455555444078,4.672867535,4.18920143,4.431034483
650895.8927554617,9791.139173858157,-21798.100385055208,-6011.289906150027,4.804087,4.368326794,4.586206897
-155985.79360999184,-27251.663447120613,15728.83756040331,5074.202109515426,3.653463529,3.070674402,3.362068966
-8572.136847605523,-16777.30341543763,3720.2476929080494,-11071.45957165628,2.147725643,1.552274357,1.85
-178537.71721144035,11070.300380615572,-15281.928159228673,-2096.7924674018823,3.394160216,2.89155407,3.142857143
-4587.588432627546,47064.65999952706,-11133.250748088807,-2744.8423203437396,1.384178612,1.098580009,1.24137931
-177088.98264742014,11232.90039240342,-15229.40139670099,-2091.6888881736545,3.324814232,2.847599561,3.086206897
50030.00805463147,-10113.997947689439,-35856.49758970941,-7070.2350585687345,3.599130983,2.900869017,3.25
-125345.11971585719,-14842.065660352864,-550.0972767851969,1293.4060038201662,3.954853907,3.366574665,3.660714286
-49001.25318178599,-48167.389711457814,12787.790589645376,4259.833315192691,3.453428328,2.925882017,3.189655172
347922.2314522346,-32285.958984764682,-16536.086150066316,-3524.2664239157807,4.785550297,4.325560814,4.555555556
-177783.06979999677,11158.491260562718,-15258.612051584274,-2095.377775984557,2.653067263,2.154625045,2.403846154
246964.0374885817,-52400.00887065801,-3015.7410641501165,-58.34523461592476,4.518530885,4.014802449,4.266666667
-196930.49038238882,7262.1099745755055,4406.180802819047,-2973.777114700253,3.107115012,2.596588692,2.851851852
-120360.2144303606,10134.504422074253,-15464.959965841412,22522.00335632649,3.531309226,3.020414912,3.275862069
26676.551301628886,71718.91671086644,4229.979698131644,-4431.085218514438,1.56564417,1.167689163,1.366666667
-109808.71505541114,44567.06006826479,-10893.21182447173,-29969.390003569908,1.642556938,1.324109728,1.483333333
127680.37018159019,-74465.57785864946,9678.065296166227,3301.2615358673293,4.257197985,3.639353739,3.948275862
-78041.96969912767,8500.94372785021,-33760.37683867971,-6354.432048003877,3.991799552,3.401057591,3.696428571
389387.71817667887,-36882.76969918213,2743.703403529474,617.6026820572134,4.766305092,4.305123479,4.535714286
417683.2830620285,16487.851371331024,-6916.163849700231,-40782.241724608975,3.0643401,2.528252492,2.796296296
-208656.1098366185,-10399.087565069514,18626.08882136656,5632.565155430373,3.109396031,2.640603969,2.875
246964.02876949642,-52399.6172511846,-3015.3419901188586,-58.39018601238356,4.586922149,4.190855629,4.388888889
102995.0970990122,-4346.599785653935,-33710.428969577355,-6817.7215363198375,3.658971212,3.055314503,3.357142857
-126571.56289184799,21905.74177552867,1497.075184792957,-18507.148546626213,3.665622055,3.092998635,3.379310345
-190387.45954142022,665.1960614792382,1843.7495985844103,1792.1233377805147,3.249159055,2.784174278,3.016666667
