fe-1,fe-2,fe-3,fe-4,fe-5,CIHigh,CILow,MOS
-96471.00174229167,20285.016700989647,-25410.006765650192,-7633.307763182719,-24941.318047789377,3.824198457,3.329647696,3.576923077
-190899.2439090163,610.2798563107849,1825.222990436354,1789.7435154970756,-1099.5449269987273,3.257015236,2.742984764,3.0
519840.3157679629,-13560.844450099432,-9573.809645649533,-2705.99116745689,-2616.5488342041476,4.581469014,3.989959557,4.285714286
51809.71371273872,-9921.899265424965,-35785.16322192143,-7061.4555554441,-687.2164349687902,4.672867535,4.18920143,4.431034483
650895.8927554617,9791.139173858122,-21798.100385055244,-6011.289906150037,-4101.7122846661705,4.804087,4.368326794,4.586206897
-155985.79360999184,-27251.663447120587,15728.837560403343,5074.202109515444,-138.71971717670223,3.653463529,3.070674402,3.362068966
-8572.136847605523,-16777.30341543762,3720.247692908056,-11071.459571656307,-1125.2699902355457,2.147725643,1.552274357,1.85
-178537.71721144035,11070.300380615558,-15281.928159228695,-2096.792467401865,-1328.3044122466213,3.394160216,2.89155407,3.142857143
-4587.588432627546,47064.65999952701,-11133.250748088822,-2744.842320343766,37080.5017340184,1.384178612,1.098580009,1.24137931
-177088.98264742014,11232.900392403406,-15229.401396701016,-2091.6888881736572,-1344.1801453921412,3.324814232,2.847599561,3.086206897
50030.00805463147,-10113.997947689431,-35856.49758970948,-7070.235058568754,-668.2179192098857,3.599130983,2.900869017,3.25
-125345.11971585719,-14842.06566035285,-550.0972767851978,1293.4060038201696,-560.8143237253902,3.954853907,3.366574665,3.660714286
-49001.25318178599,-48167.38971145776,12787.790589645398,4259.8333151927,673.157169043013,3.453428328,2.925882017,3.189655172
347922.2314522346,-32285.95898476465,-16536.086150066345,-3524.2664239157907,-796.0985257861438,4.785550297,4.325560814,4.555555556
-177783.06979999677,11158.491260562703,-15258.612051584298,-2095.37777598456,-1336.7929990089203,2.653067263,2.154625045,2.403846154
246964.0374885817,-52400.00887065796,-3015.7410641501237,-58.34523461592666,370.8824600001388,4.518530885,4.014802449,4.266666667
-196930.49038238882,7262.109974575497,4406.180802819056,-2973.7771147002586,-1557.8801195258807,3.107115012,2.596588692,2.851851852
-120360.2144303606,10134.50442207424,-15464.959965841437,22522.003356326542,7584.076690910239,3.531309226,3.020414912,3.275862069
26676.551301628886,71718.91671086637,4229.979698131651,-4431.085218514448,-81.87415521819885,1.56564417,1.167689163,1.366666667
-109808.71505541114,44567.06006826474,-10893.211824471748,-29969.39000356998,-8989.838358062894,1.642556938,1.324109728,1.483333333
127680.37018159019,-74465.57785864938,9678.06529616624,3301.261535867333,1731.4262025125006,4.257197985,3.639353739,3.948275862
-78041.96969912767,8500.943727850197,-33760.37683867977,-6354.432048003892,-1257.3884957062949,3.991799552,3.401057591,3.696428571
389387.71817667887,-36882.76969918209,2743.7034035294787,617.6026820572145,-1137.400289442545,4.766305092,4.305123479,4.535714286
417683.2830620285,16487.851371331006,-6916.163849700241,-40782.2417246091,36560.347419327285,3.0643401,2.528252492,2.796296296
-208656.1098366185,-10399.087565069505,18626.088821366593,5632.565155430389,-814.0445660093282,3.109396031,2.640603969,2.875
246964.02876949642,-52399.61725118455,-3015.341990118866,-58.3901860123872,370.92783994985456,4.586922149,4.190855629,4.388888889
102995.0970990122,-4346.599785653935,-33710.42896957741,-6817.721536319855,-1229.558589547057,3.658971212,3.055314503,3.357142857
-126571.56289184799,21905.741775528655,1497.0751847929582,-18507.148546626253,-7891.283239724294,3.665622055,3.092998635,3.379310345
-190387.45954142022,665.1960614792371,1843.749598584414,1792.1233377805208,-1105.1113494021354,3.249159055,2.784174278,3.016666667
39461.281555976595,-2386.8508007154205,-12023.367783600808,-14807.112479391,-1732.4989812932474,3.09915415,2.442512516,2.770833333
-186353.74250343902,17582.125847963045,-12842.859811632266,-6888.5759924486565,-1768.0394627314192,1.529546306,1.23712036,1.383333333
-208889.8106872934,-10423.582690035422,18617.653682086693,5631.350897984978,-811.4602819866823,3.24043084,2.828534677,3.034482759
-56563.32933247326,26534.50973306679,29185.67639247797,14663.104679991879,2252.0243166514415,1.400678788,1.15104535,1.275862069
-42560.93726866816,-17115.224246641774,9567.332444192465,-1471.2005487710203,-36337.38242754126,2.55951845,1.976195836,2.267857143
-96939.31772145323,20225.54885806076,-25415.29105191474,-7637.818170149595,-24937.639681804176,3.809449298,3.362964496,3.586206897
-172152.59757377667,37771.62475972002,-28242.299657275424,4981.912067224227,3171.1217401205054,2.137035504,1.690550702,1.913793103
-26583.5577948773,-36651.06543421779,-3830.566155434186,438.7254040794485,338.6251101858299,4.329362543,3.770637457,4.05
-178650.8719795676,11062.867833753819,-15292.766710479327,-2099.096699344616,-1327.0400452688589,3.348464581,2.85843197,3.103448276
-178608.71097964683,11062.663455784374,-15284.681606687396,-2097.1358900191763,-1327.5456114847657,3.430356437,3.002976896,3.216666667
-169722.03455831646,-13433.49073974828,17659.610353132022,30159.9489727862,8302.286396112737,3.12457995,2.57542005,2.85
-26576.70746470073,-36651.450921605356,-3828.9450625180384,439.16115583139964,338.5175396430848,4.225768921,3.636300045,3.931034483
