fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,CIHigh,CILow,MOS
-96471.0017422917,20285.016700989665,-25410.006765650207,-7633.307763182764,-24941.3180477898,12721.709091305715,3.824198457,3.329647696,3.576923077
-190899.24390901666,610.2798563107842,1825.2229904363624,1789.7435154970772,-1099.5449269987457,938.6065054827204,3.257015236,2.742984764,3.0
519840.3157679631,-13560.844450099446,-9573.80964564954,-2705.991167456909,-2616.5488342041913,-10197.113459986296,4.581469014,3.989959557,4.285714286
51809.71371273873,-9921.899265424976,-35785.16322192146,-7061.4555554441295,-687.2164349687799,2388.2254225573697,4.672867535,4.18920143,4.431034483
650895.892755462,9791.139173858177,-21798.10038505529,-6011.289906150071,-4101.712284666229,-12190.475770455389,4.804087,4.368326794,4.586206897
-155985.79360999193,-27251.663447120616,15728.837560403348,5074.202109515463,-138.71971717670453,48.81993661476911,3.653463529,3.070674402,3.362068966
-8572.13684760553,-16777.30341543763,3720.2476929080567,-11071.459571656373,-1125.2699902355619,-40598.87201190778,2.147725643,1.552274357,1.85
-178537.71721144044,11070.300380615572,-15281.928159228706,-2096.7924674018755,-1328.3044122466433,2581.847779639451,3.394160216,2.89155407,3.142857143
-4587.588432627548,47064.659999527066,-11133.250748088834,-2744.8423203437724,37080.501734019024,-19604.60689361934,1.384178612,1.098580009,1.24137931
-177088.9826474202,11232.900392403419,-15229.401396701023,-2091.6888881736686,-1344.1801453921626,2533.9490061722577,3.324814232,2.847599561,3.086206897
50030.00805463149,-10113.997947689442,-35856.4975897095,-7070.235058568786,-668.21791920989,2441.9449831014667,3.599130983,2.900869017,3.25
-125345.11971585725,-14842.065660352864,-550.097276785199,1293.4060038201756,-560.814323725399,1119.0146444204465,3.954853907,3.366574665,3.660714286
-49001.25318178602,-48167.389711457814,12787.790589645405,4259.83331519272,673.1571690430249,-566.3248469977692,3.453428328,2.925882017,3.189655172
347922.2314522348,-32285.958984764682,-16536.08615006636,-3524.266423915807,-796.098525786151,-4945.407346563562,4.785550297,4.325560814,4.555555556
-177783.06979999683,11158.491260562718,-15258.612051584309,-2095.377775984571,-1336.7929990089415,2555.1103224811473,2.653067263,2.154625045,2.403846154
246964.03748858176,-52400.00887065803,-3015.741064150127,-58.34523461592659,370.882460000148,-3879.5232772067898,4.518530885,4.014802449,4.266666667
-196930.4903823889,7262.109974575509,4406.180802819058,-2973.777114700275,-1557.880119525908,-15573.84683416863,3.107115012,2.596588692,2.851851852
-120360.21443036065,10134.504422074255,-15464.95996584145,22522.00335632666,7584.076690910363,2545.4479626839975,3.531309226,3.020414912,3.275862069
26676.5513016289,71718.91671086644,4229.979698131659,-4431.085218514468,-81.87415521820394,-7518.307150782171,1.56564417,1.167689163,1.366666667
-109808.71505541117,44567.06006826479,-10893.211824471751,-29969.390003570134,-8989.83835806304,-2091.022071574735,1.642556938,1.324109728,1.483333333
127680.37018159023,-74465.57785864947,9678.065296166247,3301.261535867349,1731.4262025125342,-2244.797075318443,4.257197985,3.639353739,3.948275862
-78041.9696991277,8500.943727850206,-33760.37683867979,-6354.432048003922,-1257.3884957063117,3695.594322229547,3.991799552,3.401057591,3.696428571
389387.71817667905,-36882.76969918213,2743.7034035294773,617.6026820572172,-1137.4002894425641,-8230.064661035887,4.766305092,4.305123479,4.535714286
417683.28306202864,16487.851371331028,-6916.163849700248,-40782.24172460928,36560.34741932791,21398.048467172684,3.0643401,2.528252492,2.796296296
-208656.10983661862,-10399.087565069514,18626.088821366604,5632.565155430415,-814.0445660093458,-524.1586296290559,3.109396031,2.640603969,2.875
246964.0287694965,-52399.6172511846,-3015.34199011887,-58.39018601238748,370.9278399498652,-3879.7161249564974,4.586922149,4.190855629,4.388888889
102995.09709901223,-4346.59978565394,-33710.428969577435,-6817.721536319887,-1229.558589547072,821.3302906853368,3.658971212,3.055314503,3.357142857
-126571.56289184802,21905.741775528677,1497.0751847929641,-18507.148546626344,-7891.2832397244265,23158.03715155361,3.665622055,3.092998635,3.379310345
-190387.4595414203,665.1960614792383,1843.7495985844148,1792.1233377805286,-1105.1113494021545,923.720634579701,3.249159055,2.784174278,3.016666667
39461.28155597661,-2386.850800715418,-12023.367783600821,-14807.112479391075,-1732.4989812932722,-40039.97942464548,3.09915415,2.442512516,2.770833333
-186353.7425034391,17582.125847963067,-12842.859811632277,-6888.575992448691,-1768.0394627314454,-13880.584254547452,1.529546306,1.23712036,1.383333333
-208889.81068729344,-10423.582690035431,18617.653682086704,5631.350897985004,-811.4602819866999,-517.5143993569673,3.24043084,2.828534677,3.034482759
-56563.32933247327,26534.50973306681,29185.67639247799,14663.104679991953,2252.024316651471,31809.277535132253,1.400678788,1.15104535,1.275862069
-42560.93726866817,-17115.224246641803,9567.332444192476,-1471.2005487710373,-36337.382427541874,14297.313313970819,2.55951845,1.976195836,2.267857143
-96939.31772145325,20225.548858060774,-25415.29105191475,-7637.818170149639,-24937.639681804594,12734.038978059445,3.809449298,3.362964496,3.586206897
-172152.5975737767,37771.62475972008,-28242.299657275445,4981.912067224252,3171.1217401205577,-12579.303577309061,2.137035504,1.690550702,1.913793103
-26583.557794877306,-36651.065434217824,-3830.5661554341896,438.72540407945064,338.62511018583893,759.8184224999346,4.329362543,3.770637457,4.05
-178650.8719795677,11062.867833753831,-15292.766710479336,-2099.0966993446264,-1327.0400452688798,2585.5816109635707,3.348464581,2.85843197,3.103448276
-178608.71097964692,11062.663455784386,-15284.681606687405,-2097.135890019187,-1327.5456114847864,2583.953693297268,3.430356437,3.002976896,3.216666667
-169722.03455831655,-13433.490739748293,17659.610353132033,30159.94897278635,8302.286396112868,32.45919688320668,3.12457995,2.57542005,2.85
-26576.707464700743,-36651.45092160539,-3828.945062518042,439.16115583140106,338.5175396430938,759.5435675292122,4.225768921,3.636300045,3.931034483
-133621.5185555004,-15741.948813769106,-886.0939702987998,1253.6319354801515,-472.51593519239617,1375.4164908713597,3.574117983,3.046571672,3.310344828
-209904.49442154256,-10536.717689978588,18576.19726396382,5627.119760526615,-800.2962380505122,-481.8218730203453,3.16710629,2.73289371,2.95
99683.43760109125,-42300.42372682255,14245.53303139635,60981.89587161631,21091.36779595825,-2400.064229556958,2.241733096,1.758266904,2.0
593669.3936262799,38771.48423230011,-18411.51396321785,51530.724333778555,15567.617637468002,-11453.930146870713,2.156586714,1.73996501,1.948275862
-163371.8021396242,21798.278434605632,-32194.503462540164,-5952.868097631386,-1586.6057813308885,4125.138040600676,3.421011653,2.986395754,3.203703704
386217.68630594586,-37229.05160606612,2618.19941835484,603.0517451831051,-1103.7924264183882,-8133.750324520203,2.692561138,1.950296004,2.321428571
-88041.57726270014,7414.188617750523,-34175.46558775644,-6403.600322374323,-1151.1998484861242,4006.6307589785615,3.94604759,3.313211669,3.62962963
309437.3201853753,89263.16899558537,43007.21173214923,496.28682142553777,-156.3431935612839,-19288.127176016456,1.377270849,1.056062484,1.216666667
-180571.3484709124,45568.32806151455,-21891.498100982317,-4222.671994412135,13673.694870388605,-5131.278872553568,1.592996662,1.240336671,1.416666667
240152.04350781918,-53137.786292838166,-3295.7383288445153,-92.14336902732461,443.1035543546026,-3671.6340995818873,3.469450144,2.923406999,3.196428571
444428.5558834335,-12702.360080300838,-30147.79783465298,-6991.559326821987,-1915.4145911830765,-5885.682971936155,4.119839898,3.472752695,3.796296296
52139.9367965356,-9887.385123787419,-35769.55001414474,-7059.316898388042,-690.7202763212091,2377.9619874096074,4.655644914,4.137458535,4.396551724
330019.08740889974,-2390.321083035424,3730.501430414147,-6352.709710334965,-55747.33795461307,15132.127615672565,4.717505416,4.282494584,4.5
11216.352421594616,-23418.28607615321,-19904.383547334808,-3326.889959273726,-159.75319865798804,1621.330618399386,4.364099225,3.778757918,4.071428571
9555.796908238919,-23600.724802687706,-19966.818868024497,-3333.919635185249,-142.07985766100248,1671.2436655699655,3.431346944,2.747224484,3.089285714
435792.4334267241,85548.54065771642,20471.53843849083,14374.157935839217,280.20583106674775,39364.37307034235,1.363997599,1.102669068,1.233333333
-102559.46708534399,-3239.487211698205,-17240.127911682914,-2545.7015760439945,-900.2663419025215,2439.4977114888497,3.857237033,3.384142278,3.620689655
216089.48208071647,-23656.942361439924,20048.952872207094,-33869.24849749368,38890.54361874708,23529.523560840338,2.986568337,2.293431663,2.64
-196314.94908131612,9595.508776277959,3161.76538530856,17493.76074966718,4146.381794015118,833.4866999164907,3.319639376,2.7838089,3.051724138
99227.65415197528,-4755.5258272431965,-33862.49421533344,-6835.9161603881885,-1189.5456986259346,935.8738712843519,4.386792309,3.909503987,4.148148148
344064.3178804674,22136.996948818723,46198.86596276828,-36004.34865211609,-17609.995609036232,39153.562835179735,3.075559963,2.385978499,2.730769231
-48589.14047019032,-48122.91316287448,12805.278004868833,4261.973145525521,668.7992030794372,-578.9998940271156,3.799760206,3.165757036,3.482758621
-166880.55042359018,30994.275163914677,-30775.682622413515,9759.98800576877,3638.3243674520363,3951.88076257499,3.523768328,2.976231672,3.25
-184052.13990181396,19156.95157361589,-9777.272752282594,-2871.8654300375406,-16308.653475035657,8076.325763280233,3.28166657,2.785000097,3.033333333
-170157.8720019975,-15009.352833638824,24267.12235516202,3818.473246656514,-23867.429968744713,8942.576401372571,2.790403103,2.276263564,2.533333333
-182389.01502354728,45316.294066054055,-22849.537328774986,4182.857420048233,-11739.308752691166,-6948.161866914666,1.868626477,1.476201109,1.672413793
