fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,fe-7,fe-8,CIHigh,CILow,MOS
-96471.00174229167,20285.016700989665,-25410.00676565009,-7633.307763182765,-24941.318047789668,12721.709091305724,8548.169920031973,-301.5012528409053,3.824198457,3.329647696,3.576923077
-190899.2439090163,610.2798563108046,1825.2229904363546,1789.7435154970774,-1099.5449269987305,938.606505482717,-11692.763481911321,374.4202958915038,3.257015236,2.742984764,3.0
519840.3157679629,-13560.8444500994,-9573.809645649464,-2705.9911674569034,-2616.5488342041776,-10197.113459986325,-17831.151732468043,72.0208652150945,4.581469014,3.989959557,4.285714286
51809.71371273872,-9921.899265424972,-35785.163221921306,-7061.455555444125,-687.2164349687764,2388.225422557374,12668.329366015225,-274.95640628982744,4.672867535,4.18920143,4.431034483
650895.8927554617,9791.139173858151,-21798.10038505519,-6011.289906150072,-4101.712284666185,-12190.475770455409,-26349.65499695744,-117.9494348017108,4.804087,4.368326794,4.586206897
-155985.79360999184,-27251.663447120598,15728.837560403283,5074.20210951547,-138.71971717671465,48.81993661476919,-6853.80826011302,461.3674304113285,3.653463529,3.070674402,3.362068966
-8572.136847605523,-16777.303415437622,3720.247692908042,-11071.459571656374,-1125.2699902355505,-40598.87201190783,4146.3160276326125,402.2112499401283,2.147725643,1.552274357,1.85
-178537.71721144035,11070.300380615568,-15281.928159228639,-2096.792467401876,-1328.3044122466365,2581.847779639451,-6092.918508220927,-531.1698491692025,3.394160216,2.89155407,3.142857143
-4587.588432627546,47064.65999952704,-11133.250748088789,-2744.84232034377,37080.501734018835,-19604.606893619355,14047.280940940635,-419.82023410291663,1.384178612,1.098580009,1.24137931
-177088.98264742014,11232.900392403417,-15229.401396700958,-2091.688888173669,-1344.1801453921546,2533.9490061722604,-6278.294552055553,463.68408586785586,3.324814232,2.847599561,3.086206897
50030.00805463147,-10113.997947689433,-35856.49758970934,-7070.235058568786,-668.2179192098891,2441.944983101474,12881.309331455368,-274.7289561213138,3.599130983,2.900869017,3.25
-125345.11971585719,-14842.065660352857,-550.0972767851956,1293.4060038201756,-560.814323725396,1119.0146444204468,-3469.914771115746,505.626092819042,3.954853907,3.366574665,3.660714286
-49001.25318178601,-48167.3897114578,12787.790589645354,4259.833315192721,673.157169043021,-566.3248469977699,3515.661438728208,611.4324764465505,3.453428328,2.925882017,3.189655172
347922.2314522346,-32285.958984764675,-16536.086150066287,-3524.266423915806,-796.0985257861477,-4945.40734656357,2571.058216945063,-525.245249973782,4.785550297,4.325560814,4.555555556
-177783.06979999677,11158.491260562714,-15258.612051584241,-2095.3777759845716,-1336.7929990089328,2555.11032248115,-6194.898005426865,464.26067965986664,2.653067263,2.154625045,2.403846154
246964.0374885817,-52400.00887065799,-3015.7410641501106,-58.34523461592546,370.88246000014544,-3879.5232772067952,7489.697329852695,-405.9954000365271,4.518530885,4.014802449,4.266666667
-196930.49038238882,7262.1099745755055,4406.180802819039,-2973.777114700274,-1557.8801195258964,-15573.846834168657,-11654.291105016446,-703.4718964231245,3.107115012,2.596588692,2.851851852
-120360.21443036063,10134.50442207425,-15464.959965841379,22522.00335632666,7584.076690910322,2545.4479626840052,3576.8105060880216,-394.2799169954578,3.531309226,3.020414912,3.275862069
26676.55130162889,71718.9167108664,4229.979698131635,-4431.085218514469,-81.87415521820472,-7518.307150782178,12531.620564011137,560.8426227662183,1.56564417,1.167689163,1.366666667
-109808.71505541114,44567.060068264764,-10893.21182447171,-29969.390003570126,-8989.838358062989,-2091.022071574738,6185.938134344585,542.1687726204291,1.642556938,1.324109728,1.483333333
127680.37018159017,-74465.57785864943,9678.065296166207,3301.2615358673524,1731.4262025125238,-2244.797075318446,14615.808687430965,-244.56715351951775,4.257197985,3.639353739,3.948275862
-78041.96969912767,8500.943727850206,-33760.37683867964,-6354.432048003921,-1257.3884957063049,3695.5943222295546,4991.557092448405,624.4744194060432,3.991799552,3.401057591,3.696428571
389387.7181766789,-36882.769699182114,2743.703403529468,617.6026820572176,-1137.4002894425582,-8230.064661035904,-9411.703603528467,260.1661174539379,4.766305092,4.305123479,4.535714286
417683.28306202835,16487.851371331013,-6916.163849700217,-40782.24172460928,36560.34741932772,21398.048467172724,-5700.180107221132,-606.5724114772942,3.0643401,2.528252492,2.796296296
-208656.1098366185,-10399.087565069507,18626.088821366524,5632.565155430415,-814.044566009341,-524.1586296290606,-16607.519646497345,305.5108486875246,3.109396031,2.640603969,2.875
246964.02876949642,-52399.61725118458,-3015.3419901188536,-58.390186012385676,370.92783994986183,-3879.716124956502,7490.172924951621,-407.14426143367,4.586922149,4.190855629,4.388888889
102995.09709901222,-4346.5997856539325,-33710.42896957728,-6817.7215363198875,-1229.5585895470651,821.3302906853398,6582.007430683464,603.7399894057049,3.658971212,3.055314503,3.357142857
-126571.562891848,21905.741775528662,1497.0751847929553,-18507.148546626344,-7891.283239724386,23158.037151553646,2067.5690766957664,-362.5843055911436,3.665622055,3.092998635,3.379310345
-190387.4595414203,665.1960614792396,1843.7495985844073,1792.1233377805286,-1105.1113494021477,923.7206345796992,-11754.64709731111,376.94841356034885,3.249159055,2.784174278,3.016666667
39461.28155597659,-2386.850800715415,-12023.367783600761,-14807.112479391075,-1732.4989812932574,-40039.97942464553,5534.497320894498,408.5692773847973,3.09915415,2.442512516,2.770833333
-186353.742503439,17582.12584796306,-12842.859811632217,-6888.575992448692,-1768.039462731434,-13880.584254547472,-5831.029140737058,365.3723178204602,1.529546306,1.23712036,1.383333333
-208889.8106872934,-10423.582690035426,18617.65368208662,5631.350897985005,-811.4602819866943,-517.514399356973,-16578.64410829979,303.23312288151675,3.24043084,2.828534677,3.034482759
-56563.329332473244,26534.509733066785,29185.676392477864,14663.104679991948,2252.024316651455,31809.277535132303,9714.003747102466,747.8210618205375,1.400678788,1.15104535,1.275862069
-42560.93726866816,-17115.22424664179,9567.332444192427,-1471.2005487710385,-36337.38242754169,14297.313313970832,11842.383212632443,-246.01546254895146,2.55951845,1.976195836,2.267857143
-96939.31772145322,20225.548858060767,-25415.29105191465,-7637.81817014964,-24937.639681804467,12734.038978059461,8601.381425464864,-303.92520055458215,3.809449298,3.362964496,3.586206897
-172152.59757377664,37771.62475972006,-28242.299657275315,4981.912067224251,3171.1217401205436,-12579.303577309078,-147.06855135473612,472.1039903027274,2.137035504,1.690550702,1.913793103
-26583.5577948773,-36651.0654342178,-3830.5661554341696,438.7254040794515,338.6251101858352,759.8184224999371,7893.89135890226,-324.42463000186615,4.329362543,3.770637457,4.05
-178650.8719795676,11062.867833753828,-15292.766710479267,-2099.0966993446273,-1327.0400452688712,2585.581610963573,-6075.26009774697,-533.947239986805,3.348464581,2.85843197,3.103448276
-178608.71097964683,11062.663455784384,-15284.681606687336,-2097.1358900191876,-1327.5456114847789,2583.9536932972705,-6084.385032158362,-531.2696258728267,3.430356437,3.002976896,3.216666667
