fe-1,fe-2,CIHigh,CILow,MOS
-169722.03455831655,-13433.490739747562,3.12457995,2.57542005,2.85
-162126.59825933404,-27921.841200337156,3.380332715,2.964494871,3.172413793
-42560.937268668196,-17115.224246642054,2.55951845,1.976195836,2.267857143
-96939.3177214531,20225.54885806101,3.809449298,3.362964496,3.586206897
386217.6863059461,-37229.05160606474,2.692561138,1.950296004,2.321428571
389387.7181766789,-36882.76969918154,4.766305092,4.305123479,4.535714286
-190387.45954142042,665.196061479691,3.249159055,2.784174278,3.016666667
43566.18165511426,3740.3625775695755,4.625796982,4.159917303,4.392857143
330019.0874088998,-2390.321083034776,4.717505416,4.282494584,4.5
-208656.10983661882,-10399.087565069087,3.109396031,2.640603969,2.875
-125345.11971585716,-14842.065660352757,3.954853907,3.366574665,3.660714286
317597.83088975446,-3485.1645196980357,2.746840825,2.218676416,2.482758621
309437.3201853756,89263.1689955866,1.377270849,1.056062484,1.216666667
-54213.74295760131,53834.446076068794,1.387269538,1.079397128,1.233333333
-166880.5504235905,30994.275163915005,3.523768328,2.976231672,3.25
-190114.2177099819,696.294050028047,3.444807906,3.003467956,3.224137931
-111800.11377080974,-4246.2275630524155,3.91045444,3.503338664,3.706896552
-177088.98264742058,11232.900392403239,3.324814232,2.847599561,3.086206897
36943.09035456148,3017.010044151185,2.646890722,2.056812981,2.351851852
103837.30728488127,-4252.593833247919,4.592530589,4.157469411,4.375
305227.31577851693,30128.480711949036,3.764962853,3.028140595,3.396551724
-56563.32933247321,26534.509733067654,1.400678788,1.15104535,1.275862069
185503.7219477987,66690.7337763528,1.26447695,1.068856384,1.166666667
-48589.140470190396,-48122.91316287425,3.799760206,3.165757036,3.482758621
-102740.13104542745,-3260.8968369153813,3.720526178,3.246140488,3.483333333
-88041.57726270016,7414.188617751015,3.94604759,3.313211669,3.62962963
234048.4047354382,-62878.92683894077,4.392735837,3.814160715,4.103448276
-177783.06979999712,11158.49126056279,2.653067263,2.154625045,2.403846154
55361.814486334224,-18609.86533522685,4.442228583,3.928141788,4.185185185
-26717.79814592115,-36667.71102989083,4.373132173,3.780713981,4.076923077
-133309.22184593443,-391.2137909838431,3.669138913,3.145675902,3.407407407
-186353.74250343913,17582.125847963434,1.529546306,1.23712036,1.383333333
11216.352421594507,-23418.286076153327,4.364099225,3.778757918,4.071428571
435792.4334267236,85548.54065771775,1.363997599,1.102669068,1.233333333
-196930.49038238905,7262.109974575366,3.107115012,2.596588692,2.851851852
104026.9541075302,-45195.952669479004,3.576319397,2.84034727,3.208333333
99947.85623601115,13076.836433398832,1.284138137,1.015861863,1.15
127653.84283879562,-74467.57207966625,4.095679394,3.504320606,3.8
519840.3157679633,-13560.844450099035,4.581469014,3.989959557,4.285714286
292511.2337699373,96535.42824215522,1.471686809,0.994979857,1.233333333
-26583.557794877393,-36651.06543421821,4.329362543,3.770637457,4.05
-172152.5975737771,37771.624759719976,2.137035504,1.690550702,1.913793103
517257.14296162664,-13840.122740007864,4.659037443,4.269533986,4.464285714
-131948.6169909027,36620.90727116643,1.74043084,1.328534677,1.534482759
-8572.136847605532,-16777.30341543857,2.147725643,1.552274357,1.85
-120360.21443036043,10134.504422074395,3.531309226,3.020414912,3.275862069
-92459.22606301133,-34947.048352890466,2.728516741,2.054091954,2.391304348
7075.79871589502,-32986.12210868919,4.23399043,3.535240339,3.884615385
240152.04350781915,-53137.7862928369,3.469450144,2.923406999,3.196428571
-190106.4398123923,695.2418077847323,3.448905722,2.930404623,3.189655172
-192550.92346794278,23579.674079202567,1.770033908,1.363299425,1.566666667
102995.09709901223,-4346.599785654542,3.658971212,3.055314503,3.357142857
216089.48208071652,-23656.9423614388,2.986568337,2.293431663,2.64
-133621.51855550057,-15741.948813768562,3.574117983,3.046571672,3.310344828
-5312.977245128243,36831.282962113284,1.442300703,1.057699297,1.25
-102559.46708534399,-3239.4872116972656,3.857237033,3.384142278,3.620689655
-77623.80415645492,8546.810450909843,4.24461591,3.686418572,3.965517241
-178537.7172114407,11070.30038061526,3.394160216,2.89155407,3.142857143
176344.48446837594,-1831.1631625815053,1.965763382,1.498522332,1.732142857
-163371.8021396246,21798.27843460629,3.421011653,2.986395754,3.203703704
51809.71371273875,-9921.899265425916,4.672867535,4.18920143,4.431034483
-199001.39537297393,7083.478348273271,1.362669765,1.137330235,1.25
-178608.7109796472,11062.663455784857,3.430356437,3.002976896,3.216666667
-213707.6466873955,-2212.974981113511,2.576073139,2.123926861,2.35
9555.79690823871,-23600.724802687386,3.431346944,2.747224484,3.089285714
-63313.49573131716,-31773.93525982897,2.970983131,2.251239091,2.611111111
-125529.47621402457,-14861.666654884804,3.772468808,3.193048433,3.482758621
-182427.47432516227,17999.632582844493,3.014959093,2.449326621,2.732142857
-87866.50211970846,21410.74765730576,3.165961789,2.619752497,2.892857143
-132848.52508760974,-15660.234905785694,3.846189416,3.296667727,3.571428571
209985.06856173155,-33395.452128937366,3.210241176,2.419388454,2.814814815
-4587.5884326275955,47064.659999526375,1.384178612,1.098580009,1.24137931
-127985.5715689444,-15127.138577142408,3.653463529,3.070674402,3.362068966
-208652.22729858203,-10399.324023760124,3.228121605,2.771878395,3.0
-170157.87200199763,-15009.35283363722,2.790403103,2.276263564,2.533333333
232965.8757405064,-62995.37501995448,4.400800178,3.806096374,4.103448276
35595.50249867749,11943.183511005313,2.405101776,1.828231558,2.116666667
-112286.88048184247,-10143.05127009151,1.786571514,1.313428486,1.55
-226955.4181620553,13200.05831384783,1.945329132,1.488004202,1.716666667
389190.7228423985,48615.37878434172,3.95457961,3.30467965,3.62962963
-208889.8106872937,-10423.582690034853,3.24043084,2.828534677,3.034482759
-182389.0150235474,45316.29406605452,1.868626477,1.476201109,1.672413793
-88033.83864729258,7413.1865022868415,4.041123384,3.392209949,3.716666667
97204.7485108948,-4979.347650116644,3.002162168,2.354980689,2.678571429
114604.64662449263,58966.83185320675,1.294254321,1.050573265,1.172413793
-191915.69020242433,27885.88916159379,2.518109498,1.948557169,2.233333333
-209904.49442154283,-10536.717689977913,3.16710629,2.73289371,2.95
-111511.39139821607,-4217.331928558617,3.884859971,3.329425744,3.607142857
26676.551301628795,71718.91671086672,1.56564417,1.167689163,1.366666667
52139.93679653557,-9887.385123787437,4.655644914,4.137458535,4.396551724
-53392.24618411105,-18012.320848377054,1.868626477,1.476201109,1.672413793
50030.00805463146,-10113.997947690514,3.599130983,2.900869017,3.25
-190899.2439090168,610.279856310621,3.257015236,2.742984764,3.0
477412.6598567944,17033.31492832537,2.686788331,2.05395241,2.37037037
650895.8927554619,9791.139173857226,4.804087,4.368326794,4.586206897
-191340.03181441064,559.1394542236037,3.46412956,2.93587044,3.2
-154254.64509202202,25077.723181467816,1.765816215,1.400850451,1.583333333
-49001.25318178597,-48167.38971145827,3.453428328,2.925882017,3.189655172
-14347.637429979079,13297.012857945743,3.907056989,3.437770597,3.672413793
99227.65415197516,-4755.525827243156,4.386792309,3.909503987,4.148148148
-13707.49704338064,58250.55172447371,1.467294188,1.153395467,1.310344828
-210408.38766419835,-10589.186562057432,3.051922047,2.603250367,2.827586207
-161907.1768225567,21920.515098350676,3.460340236,2.987935627,3.224137931
-161757.6474998615,21975.321307286835,3.312221095,2.887778905,3.1
-191644.61798483308,527.3264533826996,3.094947531,2.491259366,2.793103448
417683.28306202876,16487.85137133221,3.0643401,2.528252492,2.796296296
-77647.13002551929,8549.655974165596,3.923636291,3.335622968,3.62962963
-102390.91582858285,-3222.1749644417832,3.909399125,3.469911219,3.689655172
-162708.44575793878,-27985.13786996517,2.558665314,1.941334686,2.25
-141838.9461810083,-2659.5492558890815,2.637035504,2.190550702,2.413793103
-133024.9353194911,-15677.979266955927,3.454788469,2.978544864,3.216666667
-140977.37820977558,32090.968421830723,1.552327478,1.206293212,1.379310345
-181960.25102534887,-4327.707405872695,1.91045444,1.503338664,1.706896552
446900.39699384675,-12433.825912071261,4.751477668,4.284236618,4.517857143
-209627.37297721853,-10505.760635605458,3.060916712,2.639083288,2.85
10851.304938334342,-32573.861981434336,4.452997027,3.975574401,4.214285714
-180571.34847091264,45568.328061515,1.592996662,1.240336671,1.416666667
-96471.00174229154,20285.01670098865,3.824198457,3.329647696,3.576923077
-111409.4179208702,7566.27302712497,3.388944946,2.921399882,3.155172414
-156881.11424114957,-27348.843342941094,3.432505962,2.867494038,3.15
347922.23145223496,-32285.95898476433,4.785550297,4.325560814,4.555555556
-177014.21774425742,11238.411006795275,3.373239619,2.937105209,3.155172414
-126571.56289184793,21905.741775529063,3.665622055,3.092998635,3.379310345
-88873.05276727826,-30960.8051386912,2.535804889,2.019750667,2.277777778
593669.3936262787,38771.484232298746,2.156586714,1.73996501,1.948275862
-196314.9490813164,9595.508776278748,3.319639376,2.7838089,3.051724138
-26576.707464700845,-36651.4509216058,4.225768921,3.636300045,3.931034483
344064.3178804674,22136.996948820368,3.075559963,2.385978499,2.730769231
246964.0374885816,-52400.008870657686,4.518530885,4.014802449,4.266666667
-156359.61151131243,-27291.713320726696,3.636244181,3.018928233,3.327586207
-184052.13990181405,19156.951573616632,3.28166657,2.785000097,3.033333333
-76506.38212192192,-51165.01145266299,3.849214939,3.150785061,3.5
194960.65869782024,76837.82761683423,1.543937516,1.222729151,1.383333333
-109808.71505541126,44567.060068264436,1.642556938,1.324109728,1.483333333
-168440.5553359375,30823.264128237228,3.231543121,2.732742593,2.982142857
-178650.871979568,11062.867833753999,3.348464581,2.85843197,3.103448276
-77373.06945264219,-51259.12032247851,2.728559181,2.057155105,2.392857143
444428.5558834341,-12702.360080300194,4.119839898,3.472752695,3.796296296
-155979.93954931025,-27251.677865099653,3.462234023,3.020524597,3.24137931
39461.2815559765,-2386.850800715886,3.09915415,2.442512516,2.770833333
11221.217982545992,-23418.30674647216,4.549695967,4.021732605,4.285714286
-155985.79360999214,-27251.663447120613,3.653463529,3.070674402,3.362068966
99683.43760109127,-42300.42372682107,2.241733096,1.758266904,2.0
246964.02876949642,-52399.61725118404,4.586922149,4.190855629,4.388888889
-210255.534141768,-10573.70538621381,2.624756782,2.153020996,2.388888889
634664.4833016028,8022.255790935352,2.694792401,1.945207599,2.32
-110981.10054968385,32011.896479448173,1.513780279,1.186219721,1.35
-78041.96969912777,8500.943727850521,3.991799552,3.401057591,3.696428571
356237.27653919545,-8646.435842461908,2.486585659,1.977700056,2.232142857
-199394.11838568622,8425.603062348082,1.621677784,1.278322216,1.45
10855.21625197583,-32573.67093348337,4.371789143,3.869590168,4.120689655
-163367.9424092974,21797.33218809838,3.369995498,2.880004502,3.125
632550.9162240347,39636.76978400935,4.756993215,4.311972302,4.534482759
-154773.6320769026,11063.610520818902,2.303374142,1.770699932,2.037037037
-224695.9003351933,12602.15499422285,1.659640274,1.271394209,1.465517241
-163813.62765336758,21749.16646326954,3.551922047,3.103250367,3.327586207
-101098.87213979205,6926.486666838948,1.424230754,1.075769246,1.25
-51096.59293513659,-48395.261882625055,2.501572021,1.9811866,2.24137931
127680.37018159022,-74465.5778586486,4.257197985,3.639353739,3.948275862
507285.50717909116,-14926.95738440446,3.044920759,2.339694626,2.692307692
