fe-1,fe-2,fe-3,fe-4,fe-5,fe-6,CIHigh,CILow,MOS
-169722.03455831655,-13433.490739747562,17659.610353133332,30159.948972786195,-8302.286396112188,-32.45919688273459,3.12457995,2.57542005,2.85
-162126.59825933404,-27921.841200337156,15479.956809282177,5045.304908305998,73.20762136643839,-240.60131910058456,3.380332715,2.964494871,3.172413793
-42560.937268668196,-17115.224246642054,9567.332444191372,-1471.200548772929,36337.382427541444,-14297.31331397242,2.55951845,1.976195836,2.267857143
-96939.3177214531,20225.54885806101,-25415.291051915112,-7637.818170149845,24937.639681802975,-12734.03897805972,3.809449298,3.362964496,3.586206897
386217.6863059461,-37229.05160606474,2618.1994183551164,603.0517451836788,1103.7924264184278,8133.750324522805,2.692561138,1.950296004,2.321428571
389387.7181766789,-36882.76969918154,2743.7034035295446,617.6026820572357,1137.4002894429882,8230.064661039229,4.766305092,4.305123479,4.535714286
-190387.45954142042,665.196061479691,1843.7495985844607,1792.123337780269,1105.1113494012654,-923.7206345793403,3.249159055,2.784174278,3.016666667
43566.18165511426,3740.3625775695755,-14774.153173958772,35625.04043198846,-12291.008255226865,46.98797273322799,4.625796982,4.159917303,4.392857143
330019.0874088998,-2390.321083034776,3730.5014304131473,-6352.709710336894,55747.33795461167,-15132.127615675203,4.717505416,4.282494584,4.5
-208656.10983661882,-10399.087565069087,18626.088821366615,5632.565155429712,814.0445660096212,524.1586296294871,3.109396031,2.640603969,2.875
-125345.11971585716,-14842.065660352757,-550.0972767849399,1293.4060038198663,560.8143237262113,-1119.0146444198824,3.954853907,3.366574665,3.660714286
317597.83088975446,-3485.1645196980357,6551.0128435140805,-37332.044985259236,-37717.59782069926,-22447.373143636316,2.746840825,2.218676416,2.482758621
309437.3201853756,89263.1689955866,43007.211732151016,496.28682142519835,156.3431935617704,19288.12717601554,1.377270849,1.056062484,1.216666667
-54213.74295760131,53834.446076068794,18474.847840286562,-889.0566471085343,-872.7520085996982,7050.514577257591,1.387269538,1.079397128,1.233333333
-166880.5504235905,30994.275163915005,-30775.682622414333,9759.988005768944,-3638.324367452762,-3951.8807625740023,3.523768328,2.976231672,3.25
-190114.2177099819,696.294050028047,1851.0884203254068,1792.7224307362915,1108.0768412818713,-915.9344445931858,3.444807906,3.003467956,3.224137931
-111800.11377080974,-4246.2275630524155,-17617.129714996852,-2589.876520845544,801.9620125546174,-2726.287268740185,3.91045444,3.503338664,3.706896552
-177088.98264742058,11232.900392403239,-15229.401396701727,-2091.6888881739224,1344.1801453917121,-2533.949006171068,3.324814232,2.847599561,3.086206897
36943.09035456148,3017.010044151185,-15034.833737702269,35594.79390084387,-12361.328100780765,-153.87096373427278,2.646890722,2.056812981,2.351851852
103837.30728488127,-4252.593833247919,-33681.6057433912,-6814.793960919504,1238.5424890811516,-796.332198161921,4.592530589,4.157469411,4.375
305227.31577851693,30128.480711949036,8409.690202032902,51344.89811167684,36427.10278389934,-14881.99517131315,3.764962853,3.028140595,3.396551724
-56563.32933247321,26534.509733067654,29185.676392476802,14663.104679990483,-2252.0243166520854,-31809.277535131238,1.400678788,1.15104535,1.275862069
185503.7219477987,66690.7337763528,55513.50537891803,3833.911673657408,-1253.4162644200305,17511.58352215823,1.26447695,1.068856384,1.166666667
-48589.140470190396,-48122.91316287425,12805.278004868329,4261.973145524464,-668.7992030794604,578.9998940271328,3.799760206,3.165757036,3.482758621
-102740.13104542745,-3260.8968369153813,-17240.388383105084,-2545.4157845415657,898.1551503639679,-2443.7711388592097,3.720526178,3.246140488,3.483333333
-88041.57726270016,7414.188617751015,-34175.46558775512,-6403.6003223742955,1151.1998484856913,-4006.630758979575,3.94604759,3.313211669,3.62962963
234048.4047354382,-62878.92683894077,13983.423873551306,3807.0111722439874,-604.8325400255382,5495.357314085508,4.392735837,3.814160715,4.103448276
-177783.06979999712,11158.49126056279,-15258.612051585445,-2095.377775984664,1336.7929990081468,-2555.110322480631,2.653067263,2.154625045,2.403846154
55361.814486334224,-18609.86533522685,-18114.741054122187,-3116.640926381667,627.5918344014366,-269.3322889595839,4.442228583,3.928141788,4.185185185
-26717.79814592115,-36667.71102989083,-3831.78598785241,438.9988270137813,-340.0749133596767,-763.3845797258278,4.373132173,3.780713981,4.076923077
-133309.22184593443,-391.2137909838431,1612.3835811256165,26405.457462716102,-7818.673712391611,-922.0083414465097,3.669138913,3.145675902,3.407407407
-186353.74250343913,17582.125847963434,-12842.859811632761,-6888.575992449904,1768.0394627314781,13880.584254546082,1.529546306,1.23712036,1.383333333
11216.352421594507,-23418.286076153327,-19904.383547335918,-3326.889959274268,159.75319865712692,-1621.3306183993684,4.364099225,3.778757918,4.071428571
435792.4334267236,85548.54065771775,20471.538438489217,14374.157935838248,-280.2058310670448,-39364.37307034318,1.363997599,1.102669068,1.233333333
-196930.49038238905,7262.109974575366,4406.180802818715,-2973.7771147003295,1557.8801195254746,15573.846834169013,3.107115012,2.596588692,2.851851852
104026.9541075302,-45195.952669479004,29712.556585773116,445.4723605470805,53158.88612357925,-18008.006136540596,3.576319397,2.84034727,3.208333333
99947.85623601115,13076.836433398832,63898.76644908673,-50461.55092866763,16799.147829658777,15900.855407634848,1.284138137,1.015861863,1.15
127653.84283879562,-74467.57207966625,9674.147833917365,3300.630437586947,-1731.6418719079904,2243.533419560304,4.095679394,3.504320606,3.8
519840.3157679633,-13560.844450099035,-9573.809645648975,-2705.9911674563423,2616.5488342048056,10197.113459985503,4.581469014,3.989959557,4.285714286
292511.2337699373,96535.42824215522,24718.941829645133,-3529.7606907590207,74.62619586258258,16752.657640065925,1.471686809,0.994979857,1.233333333
-26583.557794877393,-36651.06543421821,-3830.5661554339117,438.72540407946803,-338.62511018582734,-759.818422500394,4.329362543,3.770637457,4.05
-172152.5975737771,37771.624759719976,-28242.29965727707,4981.912067223337,-3171.1217401204344,12579.303577309473,2.137035504,1.690550702,1.913793103
517257.14296162664,-13840.122740007864,-9681.205460205974,-2719.0481330732096,2589.184752365331,10118.118649799539,4.659037443,4.269533986,4.464285714
-131948.6169909027,36620.90727116643,3822.0895889541594,6616.675520624655,-474.70585918086465,-22873.59436313406,1.74043084,1.328534677,1.534482759
-8572.136847605532,-16777.30341543857,3720.247692908887,-11071.459571657102,1125.2699902374668,40598.872011906526,2.147725643,1.552274357,1.85
-120360.21443036043,10134.504422074395,-15464.959965841652,22522.003356326168,-7584.076690910062,-2545.4479626831244,3.531309226,3.020414912,3.275862069
-92459.22606301133,-34947.048352890466,17766.17558644037,-7561.171859071185,139.37994520567926,40030.93432125676,2.728516741,2.054091954,2.391304348
7075.79871589502,-32986.12210868919,-2460.1415687300705,599.9524138599435,18.062285349964437,273.053980075505,4.23399043,3.535240339,3.884615385
240152.04350781915,-53137.7862928369,-3295.7383288435176,-92.14336902634119,-443.1035543547108,3671.6340995826267,3.469450144,2.923406999,3.196428571
-190106.4398123923,695.2418077847323,1854.4766887906303,1793.5134807800048,1108.1538674182132,-915.4386237070374,3.448905722,2.930404623,3.189655172
-192550.92346794278,23579.674079202567,40949.4483722102,6588.300698339237,-487.9854644276844,6038.49037911992,1.770033908,1.363299425,1.566666667
102995.09709901223,-4346.599785654542,-33710.428969578345,-6817.72153632151,1229.558589546261,-821.3302906863004,3.658971212,3.055314503,3.357142857
216089.48208071652,-23656.9423614388,20048.9528722072,-33869.24849749098,-38890.54361874892,-23529.52356083853,2.986568337,2.293431663,2.64
-133621.51855550057,-15741.948813768562,-886.0939702986651,1253.6319354796642,472.51593519283267,-1375.4164908714401,3.574117983,3.046571672,3.310344828
-5312.977245128243,36831.282962113284,65310.312310607325,6853.463406550008,-3371.630618058145,13688.685519196386,1.442300703,1.057699297,1.25
-102559.46708534399,-3239.4872116972656,-17240.127911683252,-2545.7015760445324,900.2663419015906,-2439.49771148836,3.857237033,3.384142278,3.620689655
-77623.80415645492,8546.810450909843,-33746.92790297086,-6352.889327075435,1261.9460299495802,-3683.5859688268156,4.24461591,3.686418572,3.965517241
-178537.7172114407,11070.30038061526,-15281.92815922897,-2096.792467401525,1328.3044122459728,-2581.8477796394004,3.394160216,2.89155407,3.142857143
176344.48446837594,-1831.1631625815053,41623.89831047296,27684.46812169334,-58461.08654787927,-21728.640333682255,1.965763382,1.498522332,1.732142857
-163371.8021396246,21798.27843460629,-32194.503462540364,-5952.868097631045,1586.6057813299078,-4125.138040600305,3.421011653,2.986395754,3.203703704
51809.71371273875,-9921.899265425916,-35785.16322192238,-7061.4555554440885,687.2164349692907,-2388.225422558162,4.672867535,4.18920143,4.431034483
-199001.39537297393,7083.478348273271,4253.352899395629,-3001.645729908667,1536.1411062194118,15509.460153442375,1.362669765,1.137330235,1.25
-178608.7109796472,11062.663455784857,-15284.681606688448,-2097.1358900194377,1327.5456114844849,-2583.95369329646,3.430356437,3.002976896,3.216666667
-213707.6466873955,-2212.974981113511,25044.849854822143,-3553.028688106384,-9634.634542500928,-6831.152886313809,2.576073139,2.123926861,2.35
9555.79690823871,-23600.724802687386,-19966.81886802309,-3333.9196351856854,142.07985765943462,-1671.243665571383,3.431346944,2.747224484,3.089285714
-63313.49573131716,-31773.93525982897,18946.931147272957,-7422.139190755436,448.5967558675788,40924.317404708956,2.970983131,2.251239091,2.611111111
-125529.47621402457,-14861.666654884804,-558.129420375354,1292.367846297546,558.8546736021501,-1124.6558805523339,3.772468808,3.193048433,3.482758621
-182427.47432516227,17999.632582844493,-12689.932056567757,-6868.314591549725,1810.6077569309084,13996.505640981602,3.014959093,2.449326621,2.732142857
-87866.50211970846,21410.74765730576,-23566.794347725925,-21060.93184709862,-15479.21967235325,-15519.970187952742,3.165961789,2.619752497,2.892857143
-132848.52508760974,-15660.234905785694,-854.9481043546059,1257.8418659107926,480.87771531435635,-1352.4826710633456,3.846189416,3.296667727,3.571428571
209985.06856173155,-33395.452128937366,37321.94436706815,-29971.37367067464,-39052.22744963007,-21706.653026981683,3.210241176,2.419388454,2.814814815
-4587.5884326275955,47064.659999526375,-11133.25074808843,-2744.84232034161,-37080.50173401984,19604.60689362037,1.384178612,1.098580009,1.24137931
-127985.5715689444,-15127.138577142408,-656.6106217214681,1280.3294223987073,532.6657443545558,-1198.8855344214965,3.653463529,3.070674402,3.362068966
-208652.22729858203,-10399.324023760124,18628.078846874258,5632.927004532608,814.0482311187552,524.5472941781201,3.228121605,2.771878395,3.0
-170157.87200199763,-15009.35283363722,24267.122355163046,3818.4732466555265,23867.429968743356,-8942.576401372473,2.790403103,2.276263564,2.533333333
232965.8757405064,-62995.37501995448,13937.367352880066,3801.2928399209045,-616.2979909427748,5462.143193898251,4.400800178,3.806096374,4.103448276
35595.50249867749,11943.183511005313,-32611.768948476296,31661.35445191479,-12278.410294391122,-2204.933880340805,2.405101776,1.828231558,2.116666667
-112286.88048184247,-10143.05127009151,28099.825686460044,40923.786225854405,22708.151623864946,-13738.45520847486,1.786571514,1.313428486,1.55
-226955.4181620553,13200.05831384783,27993.98240948306,15770.41487728336,10973.79371367154,11614.647494110362,1.945329132,1.488004202,1.716666667
389190.7228423985,48615.37878434172,-2411.597529522599,16896.89791312424,-55914.667861033595,-21263.711932755334,3.95457961,3.30467965,3.62962963
-208889.8106872937,-10423.582690034853,18617.653682087675,5631.350897984857,811.4602819872918,517.5143993555776,3.24043084,2.828534677,3.034482759
-182389.0150235474,45316.29406605452,-22849.537328776576,4182.857420048001,11739.30875269098,6948.161866915094,1.868626477,1.476201109,1.672413793
-88033.83864729258,7413.1865022868415,-34170.771814328145,-6402.681416195391,1151.2144101682084,-4005.8103909021343,4.041123384,3.392209949,3.716666667
97204.7485108948,-4979.347650116644,-33942.184207793725,-6844.768339546294,1163.1774161851022,-995.1747963934957,3.002162168,2.354980689,2.678571429
114604.64662449263,58966.83185320675,52643.44926337235,3496.8320399752683,-2004.553849780054,15343.315015131842,1.294254321,1.050573265,1.172413793
