pca-1,pca-2,CIHigh,CILow,MOS
-196314.9490813164,9595.508776278764,3.319639376,2.7838089,3.051724138
-77623.80415645451,8546.810450910185,4.24461591,3.686418572,3.965517241
99227.65415197512,-4755.5258272431365,4.386792309,3.909503987,4.148148148
-154773.63207690258,11063.610520818927,2.303374142,1.770699932,2.037037037
-126571.56289184795,21905.741775529077,3.665622055,3.092998635,3.379310345
-77373.06945264217,-51259.120322478535,2.728559181,2.057155105,2.392857143
634664.4833016027,8022.255790935339,2.694792401,1.945207599,2.32
477412.6598567944,17033.314928325384,2.686788331,2.05395241,2.37037037
389190.72284239845,48615.378784341716,3.95457961,3.30467965,3.62962963
-14347.637429979073,13297.01285794575,3.907056989,3.437770597,3.672413793
386217.6863059458,-37229.05160606479,2.692561138,1.950296004,2.321428571
216089.48208071644,-23656.942361438814,2.986568337,2.293431663,2.64
43566.18165511425,3740.3625775695527,4.625796982,4.159917303,4.392857143
446900.39699384663,-12433.825912071243,4.751477668,4.284236618,4.517857143
-120360.2144303604,10134.504422074378,3.531309226,3.020414912,3.275862069
-163367.9424092974,21797.332188098386,3.369995498,2.880004502,3.125
-208889.81068729376,-10423.582690034857,3.24043084,2.828534677,3.034482759
-162708.44575793878,-27985.137869965205,2.558665314,1.941334686,2.25
-111409.41792087018,7566.273027124966,3.388944946,2.921399882,3.155172414
97204.7485108948,-4979.347650116641,3.002162168,2.354980689,2.678571429
-191644.61798483308,527.3264533827014,3.094947531,2.491259366,2.793103448
632550.9162240347,39636.769784009295,4.756993215,4.311972302,4.534482759
-26717.79814592116,-36667.71102989085,4.373132173,3.780713981,4.076923077
52139.93679653556,-9887.385123787437,4.655644914,4.137458535,4.396551724
50030.00805463143,-10113.997947690532,3.599130983,2.900869017,3.25
-190106.43981239223,695.2418077847224,3.448905722,2.930404623,3.189655172
-125345.11971585712,-14842.065660352768,3.954853907,3.366574665,3.660714286
-133024.9353194911,-15677.979266955972,3.454788469,2.978544864,3.216666667
127680.37018159013,-74465.5778586486,4.257197985,3.639353739,3.948275862
-199394.11838568607,8425.603062348118,1.621677784,1.278322216,1.45
-77647.13002551925,8549.655974165571,3.923636291,3.335622968,3.62962963
347922.23145223485,-32285.95898476439,4.785550297,4.325560814,4.555555556
-209627.37297721847,-10505.760635605482,3.060916712,2.639083288,2.85
-210408.38766419832,-10589.186562057414,3.051922047,2.603250367,2.827586207
-131948.61699090264,36620.90727116647,1.74043084,1.328534677,1.534482759
317597.83088975446,-3485.164519698004,2.746840825,2.218676416,2.482758621
292511.2337699373,96535.42824215528,1.471686809,0.994979857,1.233333333
-88873.0527672783,-30960.805138691212,2.535804889,2.019750667,2.277777778
-181960.25102534876,-4327.7074058726585,1.91045444,1.503338664,1.706896552
-226955.4181620552,13200.058313847892,1.945329132,1.488004202,1.716666667
-156881.11424114957,-27348.84334294111,3.432505962,2.867494038,3.15
51809.71371273875,-9921.899265425916,4.672867535,4.18920143,4.431034483
-42560.937268668175,-17115.224246642065,2.55951845,1.976195836,2.267857143
99683.4376010912,-42300.4237268211,2.241733096,1.758266904,2.0
389387.71817667887,-36882.769699181525,4.766305092,4.305123479,4.535714286
-13707.4970433806,58250.55172447375,1.467294188,1.153395467,1.310344828
-78041.96969912779,8500.943727850516,3.991799552,3.401057591,3.696428571
-163371.80213962466,21798.278434606258,3.421011653,2.986395754,3.203703704
55361.81448633424,-18609.865335226867,4.442228583,3.928141788,4.185185185
114604.64662449258,58966.83185320678,1.294254321,1.050573265,1.172413793
-213707.64668739543,-2212.9749811134834,2.576073139,2.123926861,2.35
650895.8927554617,9791.13917385722,4.804087,4.368326794,4.586206897
-190899.24390901672,610.2798563106379,3.257015236,2.742984764,3.0
99947.85623601121,13076.836433398914,1.284138137,1.015861863,1.15
-112286.88048184245,-10143.051270091468,1.786571514,1.313428486,1.55
-5312.977245128211,36831.28296211334,1.442300703,1.057699297,1.25
-48589.14047019041,-48122.91316287426,3.799760206,3.165757036,3.482758621
-170157.8720019976,-15009.352833637211,2.790403103,2.276263564,2.533333333
-102559.46708534393,-3239.4872116972742,3.857237033,3.384142278,3.620689655
-51096.59293513658,-48395.26188262504,2.501572021,1.9811866,2.24137931
-166880.5504235905,30994.275163915012,3.523768328,2.976231672,3.25
356237.2765391953,-8646.435842461933,2.486585659,1.977700056,2.232142857
232965.87574050628,-62995.375019954474,4.400800178,3.806096374,4.103448276
-168440.55533593748,30823.2641282372,3.231543121,2.732742593,2.982142857
-102390.91582858283,-3222.1749644417955,3.909399125,3.469911219,3.689655172
-127985.57156894442,-15127.138577142414,3.653463529,3.070674402,3.362068966
-141838.9461810083,-2659.54925588909,2.637035504,2.190550702,2.413793103
-161907.17682255668,21920.515098350665,3.460340236,2.987935627,3.224137931
