pca-1,pca-2,pca-3,CIHigh,CILow,MOS
593669.3936262801,38771.48423229945,-18411.513963217356,2.156586714,1.73996501,1.948275862
-213707.64668739526,-2212.974981113305,25044.84985482215,2.576073139,2.123926861,2.35
234048.4047354381,-62878.92683894074,13983.42387355136,4.392735837,3.814160715,4.103448276
127653.84283879558,-74467.57207966631,9674.147833917388,4.095679394,3.504320606,3.8
114604.64662449247,58966.83185320684,52643.44926337235,1.294254321,1.050573265,1.172413793
-191915.69020242433,27885.889161593816,-8528.711275312311,2.518109498,1.948557169,2.233333333
-102390.91582858276,-3222.1749644418255,-17231.88654548551,3.909399125,3.469911219,3.689655172
50030.00805463143,-10113.99794769057,-35856.497589710074,3.599130983,2.900869017,3.25
-42560.93726866815,-17115.224246642054,9567.33244419139,2.55951845,1.976195836,2.267857143
-190106.4398123922,695.2418077847489,1854.4766887906378,3.448905722,2.930404623,3.189655172
-208889.81068729365,-10423.582690034851,18617.653682087694,3.24043084,2.828534677,3.034482759
386217.6863059458,-37229.05160606471,2618.199418355185,2.692561138,1.950296004,2.321428571
194960.65869782006,76837.82761683431,38291.312805877125,1.543937516,1.222729151,1.383333333
-166880.55042359044,30994.275163915,-30775.682622414344,3.523768328,2.976231672,3.25
-131948.6169909027,36620.90727116649,3822.089588954164,1.74043084,1.328534677,1.534482759
-141838.94618100824,-2659.549255889113,9373.372055568996,2.637035504,2.190550702,2.413793103
-63313.4957313171,-31773.935259828955,18946.931147272982,2.970983131,2.251239091,2.611111111
-120360.21443036034,10134.504422074393,-15464.959965841643,3.531309226,3.020414912,3.275862069
-161907.1768225566,21920.515098350672,-32060.321462254356,3.460340236,2.987935627,3.224137931
-127985.57156894438,-15127.138577142408,-656.6106217214497,3.653463529,3.070674402,3.362068966
-133024.93531949102,-15677.979266955945,-864.3225552550396,3.454788469,2.978544864,3.216666667
-112286.88048184253,-10143.051270091439,28099.825686460106,1.786571514,1.313428486,1.55
-92459.22606301129,-34947.04835289045,17766.17558644039,2.728516741,2.054091954,2.391304348
-162126.5982593338,-27921.841200337298,15479.956809282054,3.380332715,2.964494871,3.172413793
-96939.31772145304,20225.54885806098,-25415.291051915094,3.809449298,3.362964496,3.586206897
9555.796908238714,-23600.724802687422,-19966.81886802308,3.431346944,2.747224484,3.089285714
